name,affiliation,activityType,date,dataName,dataType,price,device
Caroline,대한법률구조공단,출판,20160827,data_876,의료데이터,1949115,AI스피커
Erie,한국보건산업진흥원,수정,20170115,data_858,건강데이터,1437121,AI스피커
Theo,숙명여자대학교,판매,20181001,data_730,음성데이터,1861980,AI스피커
Neppie,상명대학교,출판,20181107,data_367,의료데이터,1072371,페이션트모니터
Faith,한국과학기술정보연구원,구매,20160126,data_389,음성데이터,1869881,스마트워치
Jessie,한국과학기술정보연구원,구매,20160207,data_528,음성데이터,1395300,스마트워치
Georgia,정보통신산업진흥원,판매,20161202,data_825,음성데이터,1073338,AI스피커
Lottie,AWS,출판,20160926,data_108,의료데이터,1170311,페이션트모니터
Emily,지하철공사,판매,20170805,data_753,음성데이터,1005182,AI스피커
Nettie,한국과학기술정보연구원,판매,20171202,data_932,건강데이터,1486417,AI스피커
Sarah,한국연구재단,수정,20180615,data_768,음성데이터,1588784,스마트워치
Erie,한국연구재단,구매,20160626,data_786,음성데이터,1599847,AI스피커
Bama,AWS,수정,20171026,data_171,건강데이터,1806019,스마트워치
Claudine,국민건강보험공단,판매,20160730,data_893,의료데이터,1679018,AI스피커
Onie,SK텔레콤,판매,20180701,data_756,건강데이터,1048533,스마트워치
Leo,한국연구재단,수정,20170522,data_371,위치데이터,1440883,레일플러스
Flora,건강보험심사평가원,출판,20180605,data_266,의료데이터,1574583,AI스피커
Belle,건강보험심사평가원,수정,20180908,data_635,의료데이터,1533275,스마트워치
Elizabeth,한국보건산업진흥원,출판,20181226,data_775,위치데이터,1783580,레일플러스
Effie,SK텔레콤,수정,20180403,data_537,위치데이터,1380295,삼성페이
Fannie,안랩,판매,20180705,data_995,음성데이터,1066274,AI스피커
Neppie,한국개발연구원,판매,20170425,data_218,음성데이터,1841278,AI스피커
Alice,숙명여자대학교,구매,20181024,data_329,음성데이터,1794122,AI스피커
Neppie,한국데이터진흥원,구매,20160124,data_141,음성데이터,1234689,스마트워치
Clyda,NHN,수정,20160807,data_314,건강데이터,1653404,스마트워치
Bama,한국개발연구원,수정,20170102,data_452,위치데이터,1061118,삼성페이
Dinah,AWS,판매,20180521,data_233,위치데이터,1993308,T머니
Jane,삼성SDS,출판,20180813,data_530,건강데이터,1142915,AI스피커
Amanda,한국연구재단,구매,20170422,data_908,음성데이터,1393322,AI스피커
Nolla,국립중앙의료원,출판,20161113,data_655,음성데이터,1362915,AI스피커
Etta,국립중앙의료원,수정,20180418,data_193,의료데이터,1626416,AI스피커
Addie,NHN,수정,20160826,data_184,위치데이터,1175752,T머니
Martha,과학기술정책연구원,판매,20171216,data_352,위치데이터,1952934,삼성페이
Lena,안랩,출판,20160504,data_414,건강데이터,1566401,스마트워치
Ella,한국인터넷진흥원,판매,20180123,data_279,위치데이터,1364670,삼성페이
Erie,한국개발연구원,수정,20170421,data_996,음성데이터,1454274,스마트워치
Pearl,한국인터넷진흥원,출판,20180531,data_430,위치데이터,1480744,삼성페이
Daisy,한국개발연구원,구매,20160324,data_662,위치데이터,1635568,레일플러스
Leo,한국보건산업진흥원,출판,20160117,data_930,건강데이터,1851351,스마트워치
Bama,CJ올리브네트웍스,수정,20170809,data_493,건강데이터,1683559,AI스피커
Julia,상명대학교,판매,20160804,data_588,위치데이터,1748398,캐시비
Elizabeth,삼성SDS,출판,20181116,data_904,음성데이터,1560359,AI스피커
Tilda,대한법률구조공단,출판,20180321,data_942,위치데이터,1767051,삼성페이
Yetta,AWS,수정,20180225,data_717,건강데이터,1556425,스마트워치
Lanie,한국과학기술정보연구원,구매,20160629,data_223,위치데이터,1631600,레일플러스
Sallie,고려대학교,판매,20170214,data_483,음성데이터,1643656,AI스피커
Ella,안랩,수정,20170225,data_239,음성데이터,1734901,스마트워치
Susie,한국보건산업진흥원,출판,20180807,data_255,음성데이터,1874218,스마트워치
Lanie,CJ올리브네트웍스,판매,20170213,data_712,건강데이터,1678010,AI스피커
Mima,건강보험심사평가원,판매,20171216,data_431,의료데이터,1831561,스마트워치
Sallie,AWS,판매,20180204,data_866,건강데이터,1715014,AI스피커
Leo,삼성SDS,수정,20180420,data_315,위치데이터,1630845,레일플러스
Caroline,한국과학기술정보연구원,판매,20161002,data_463,건강데이터,1268982,스마트워치
Nolla,NHN,판매,20180823,data_257,음성데이터,1269187,스마트워치
Muriel,건강보험심사평가원,구매,20170131,data_297,위치데이터,1525965,레일플러스
Anna,고려대학교,수정,20160614,data_861,위치데이터,1223580,삼성페이
Lula,정보통신산업진흥원,구매,20160422,data_447,건강데이터,1492008,스마트워치
Lena,고려대학교,구매,20160223,data_418,위치데이터,1807313,삼성페이
Eliza,건강보험심사평가원,판매,20170621,data_924,음성데이터,1894175,스마트워치
Stella,국립중앙의료원,구매,20180930,data_698,위치데이터,1586461,삼성페이
Neppie,국립중앙의료원,수정,20160322,data_107,건강데이터,1710028,AI스피커
Nannie,지하철공사,판매,20170224,data_965,음성데이터,1444394,스마트워치
Mercedes,한국데이터진흥원,수정,20160320,data_468,음성데이터,1760807,스마트워치
Sarah,CJ올리브네트웍스,출판,20170722,data_994,위치데이터,1560203,T머니
Effie,CJ올리브네트웍스,판매,20171223,data_566,위치데이터,1171482,T머니
Lula,대한법률구조공단,판매,20160213,data_375,위치데이터,1136859,캐시비
Virginia,한국인터넷진흥원,구매,20160717,data_583,음성데이터,1064967,스마트워치
Yetta,숙명여자대학교,출판,20181222,data_749,건강데이터,1457389,스마트워치
Muriel,안랩,구매,20160304,data_664,위치데이터,1665838,캐시비
Erie,안랩,구매,20181218,data_746,위치데이터,1254261,T머니
Sarah,한국인터넷진흥원,판매,20171202,data_634,건강데이터,1090434,AI스피커
Mai,정보통신산업진흥원,출판,20171211,data_488,음성데이터,1624272,스마트워치
Lottie,과학기술정책연구원,구매,20180618,data_896,의료데이터,1366662,페이션트모니터
Muriel,건강보험심사평가원,구매,20180107,data_321,의료데이터,1740265,스마트워치
Katherine,AWS,판매,20170818,data_332,음성데이터,1780952,AI스피커
Belle,대한법률구조공단,출판,20180415,data_971,음성데이터,1418654,스마트워치
Faith,NHN,구매,20171009,data_981,건강데이터,1355583,스마트워치
Mima,한국데이터진흥원,출판,20170311,data_879,음성데이터,1635530,스마트워치
Melva,국민건강보험공단,출판,20180329,data_295,음성데이터,1365525,AI스피커
Stella,대한법률구조공단,판매,20170412,data_725,건강데이터,1364755,AI스피커
Dee,삼성SDS,출판,20161121,data_733,음성데이터,1793778,AI스피커
Rosanna,국립중앙의료원,판매,20180824,data_283,음성데이터,1156158,스마트워치
Lucy,국립중앙의료원,구매,20170713,data_954,음성데이터,1103036,AI스피커
Erie,국립중앙의료원,수정,20160815,data_830,건강데이터,1201656,AI스피커
Blanche,상명대학교,판매,20180710,data_347,위치데이터,1567744,캐시비
Georgia,한국보건산업진흥원,구매,20160520,data_462,의료데이터,1214760,스마트워치
Liller,한국과학기술정보연구원,판매,20171009,data_179,의료데이터,1353011,스마트워치
Eliza,한국과학기술정보연구원,구매,20161109,data_490,건강데이터,1880390,스마트워치
Carey,숙명여자대학교,수정,20170507,data_387,음성데이터,1470614,스마트워치
Maud,과학기술정책연구원,구매,20170619,data_802,의료데이터,1742604,스마트워치
Lillian,상명대학교,구매,20161009,data_469,건강데이터,1201389,스마트워치
Julia,건강보험심사평가원,수정,20160817,data_922,위치데이터,1035076,캐시비
Fannie,한국과학기술정보연구원,구매,20180423,data_316,음성데이터,1762720,AI스피커
Nealie,국립중앙의료원,출판,20161201,data_105,의료데이터,1233255,스마트워치
Maggie,CJ올리브네트웍스,판매,20170905,data_935,위치데이터,1356766,T머니
Maggie,CJ올리브네트웍스,판매,20170817,data_364,음성데이터,1956297,AI스피커
Amanda,고려대학교,출판,20180405,data_413,건강데이터,1105125,AI스피커
Nannie,과학기술정책연구원,구매,20170908,data_361,의료데이터,1304482,AI스피커
Lanie,과학기술정책연구원,판매,20180808,data_733,의료데이터,1027457,AI스피커
Eva,한국개발연구원,구매,20170628,data_935,의료데이터,1868231,AI스피커
Muriel,고려대학교,판매,20180909,data_199,의료데이터,1276605,스마트워치
Eva,한국과학기술정보연구원,판매,20160406,data_729,음성데이터,1462398,AI스피커
Viva,CJ올리브네트웍스,판매,20170204,data_910,의료데이터,1775376,페이션트모니터
Ella,지하철공사,출판,20180829,data_637,의료데이터,1416984,페이션트모니터
Nealie,한국인터넷진흥원,수정,20181107,data_104,음성데이터,1630606,AI스피커
Mollie,고려대학교,판매,20161215,data_409,음성데이터,1692966,AI스피커
Nolla,한국인터넷진흥원,판매,20181110,data_247,위치데이터,1557466,캐시비
Maggie,국립중앙의료원,구매,20180519,data_535,위치데이터,1200903,삼성페이
Rosanna,한국연구재단,수정,20180920,data_182,의료데이터,1537570,AI스피커
Anna,정보통신산업진흥원,출판,20161105,data_763,위치데이터,1528668,캐시비
Faith,국민건강보험공단,출판,20161002,data_619,건강데이터,1570365,AI스피커
Sallie,한국개발연구원,출판,20180830,data_301,위치데이터,1627687,캐시비
Mima,국립중앙의료원,수정,20180105,data_208,위치데이터,1491700,레일플러스
Clyda,SK텔레콤,판매,20170924,data_413,의료데이터,1469712,AI스피커
Maggie,한국개발연구원,구매,20160613,data_587,의료데이터,1669504,AI스피커
Mary,SK텔레콤,구매,20171021,data_104,음성데이터,1265825,AI스피커
Dee,지하철공사,구매,20170220,data_563,음성데이터,1635581,AI스피커
Katherine,지하철공사,판매,20181104,data_650,위치데이터,1121354,캐시비
Osa,정보통신산업진흥원,출판,20170327,data_266,위치데이터,1474403,T머니
Hessie,삼성SDS,수정,20170826,data_796,건강데이터,1819876,AI스피커
Sadie,지하철공사,판매,20181202,data_685,위치데이터,1273826,캐시비
Maud,SK텔레콤,구매,20160329,data_735,음성데이터,1524003,스마트워치
Osa,안랩,수정,20160109,data_421,건강데이터,1798112,AI스피커
Jane,NHN,판매,20181231,data_120,건강데이터,1828340,스마트워치
Leo,과학기술정책연구원,출판,20161015,data_861,위치데이터,1455200,레일플러스
Osa,한국개발연구원,수정,20160914,data_924,위치데이터,1038287,삼성페이
Neppie,AWS,출판,20170721,data_767,음성데이터,1838789,AI스피커
Nettie,건강보험심사평가원,출판,20161121,data_118,건강데이터,1054453,스마트워치
Magaret,한국데이터진흥원,수정,20170609,data_791,음성데이터,1518495,AI스피커
Mollie,대한법률구조공단,판매,20170930,data_124,위치데이터,1930444,삼성페이
Emma,CJ올리브네트웍스,판매,20180728,data_238,위치데이터,1305841,T머니
Clyda,SK텔레콤,수정,20161102,data_661,의료데이터,1804191,페이션트모니터
Muriel,과학기술정책연구원,구매,20170123,data_779,음성데이터,1345004,스마트워치
Belle,국민건강보험공단,판매,20181027,data_623,건강데이터,1907464,AI스피커
Julia,한국데이터진흥원,구매,20171007,data_250,건강데이터,1255554,스마트워치
Belle,상명대학교,구매,20170220,data_275,위치데이터,1938806,삼성페이
Lanie,국립중앙의료원,출판,20161201,data_526,위치데이터,1869888,삼성페이
Faith,한국인터넷진흥원,출판,20161121,data_129,위치데이터,1885710,T머니
Nettie,국민건강보험공단,판매,20180730,data_894,건강데이터,1412196,AI스피커
Katherine,대한법률구조공단,구매,20170121,data_390,음성데이터,1279303,스마트워치
Katherine,한국개발연구원,구매,20170618,data_522,건강데이터,1990278,AI스피커
Theo,한국개발연구원,수정,20170216,data_383,위치데이터,1298781,삼성페이
Rella,건강보험심사평가원,판매,20181124,data_304,위치데이터,1199056,레일플러스
Emily,국민건강보험공단,수정,20171022,data_704,음성데이터,1963220,스마트워치
Agens,안랩,판매,20170712,data_365,의료데이터,1308103,페이션트모니터
Nonie,과학기술정책연구원,구매,20180518,data_934,음성데이터,1472048,스마트워치
Electa,한국개발연구원,구매,20170103,data_601,위치데이터,1847674,레일플러스
Julia,한국데이터진흥원,출판,20171230,data_303,음성데이터,1519639,AI스피커
Fannie,상명대학교,판매,20160326,data_980,위치데이터,1649107,삼성페이
Mai,정보통신산업진흥원,구매,20170809,data_435,음성데이터,1666172,AI스피커
Maud,SK텔레콤,판매,20180120,data_295,건강데이터,1887577,스마트워치
Liller,과학기술정책연구원,구매,20171013,data_830,건강데이터,1037813,AI스피커
Olie,AWS,구매,20160124,data_425,음성데이터,1795828,AI스피커
Hessie,한국연구재단,구매,20160119,data_335,건강데이터,1145551,스마트워치
Sadie,과학기술정책연구원,출판,20181207,data_839,위치데이터,1939865,캐시비
Joella,상명대학교,판매,20170411,data_413,의료데이터,1902044,스마트워치
Dee,안랩,판매,20180127,data_475,위치데이터,1219311,삼성페이
Lottie,AWS,수정,20180731,data_672,음성데이터,1716488,AI스피커
Hessie,건강보험심사평가원,판매,20180428,data_643,의료데이터,1207871,페이션트모니터
Muriel,건강보험심사평가원,판매,20181110,data_391,음성데이터,1796672,스마트워치
Amanda,SK텔레콤,판매,20180312,data_162,건강데이터,1259826,AI스피커
Georgia,한국인터넷진흥원,출판,20170621,data_144,의료데이터,1793815,AI스피커
Jenette,상명대학교,판매,20171226,data_655,건강데이터,1707656,스마트워치
Maud,고려대학교,구매,20181021,data_105,건강데이터,1488218,AI스피커
Cherry,숙명여자대학교,출판,20161205,data_694,위치데이터,1138499,삼성페이
Hessie,NHN,출판,20170423,data_104,의료데이터,1718907,AI스피커
Katherine,한국데이터진흥원,구매,20160731,data_885,위치데이터,1435280,삼성페이
Lula,한국데이터진흥원,판매,20180729,data_427,음성데이터,1964983,스마트워치
Josephine,지하철공사,구매,20180406,data_985,위치데이터,1049528,T머니
Cora,NHN,출판,20170127,data_686,위치데이터,1798020,레일플러스
Nealie,국민건강보험공단,구매,20171027,data_340,음성데이터,1350758,스마트워치
Rosanna,SK텔레콤,수정,20160729,data_181,음성데이터,1030512,스마트워치
Dinah,지하철공사,판매,20180525,data_115,의료데이터,1006504,스마트워치
Minnie,국민건강보험공단,수정,20180127,data_119,음성데이터,1341218,AI스피커
Sarah,상명대학교,출판,20160415,data_180,의료데이터,1571121,스마트워치
Alma,SK텔레콤,판매,20161102,data_988,의료데이터,1752619,페이션트모니터
Elizabeth,한국데이터진흥원,출판,20160406,data_406,위치데이터,1517887,삼성페이
Mollie,CJ올리브네트웍스,구매,20170815,data_260,음성데이터,1293249,스마트워치
Sadie,한국데이터진흥원,판매,20170206,data_180,위치데이터,1997983,T머니
Liller,SK텔레콤,출판,20180608,data_950,건강데이터,1885206,AI스피커
Pearl,CJ올리브네트웍스,구매,20180102,data_608,음성데이터,1078565,스마트워치
Sadie,안랩,수정,20170612,data_237,건강데이터,1110931,스마트워치
Lena,상명대학교,판매,20160110,data_461,음성데이터,1561688,AI스피커
Nettie,한국연구재단,판매,20170515,data_947,음성데이터,1848165,AI스피커
Liller,AWS,판매,20160427,data_796,음성데이터,1257508,AI스피커
Hessie,SK텔레콤,수정,20181011,data_734,의료데이터,1781487,페이션트모니터
Tilda,대한법률구조공단,출판,20171116,data_925,건강데이터,1860418,스마트워치
Lanie,대한법률구조공단,구매,20180428,data_868,음성데이터,1627303,스마트워치
Daisy,한국과학기술정보연구원,출판,20160513,data_881,위치데이터,1938229,캐시비
Laura,한국개발연구원,판매,20170601,data_684,음성데이터,1582582,AI스피커
Mima,정보통신산업진흥원,구매,20170814,data_341,건강데이터,1997150,AI스피커
Alma,정보통신산업진흥원,수정,20171002,data_265,음성데이터,1536139,AI스피커
Dee,AWS,판매,20160908,data_800,의료데이터,1600472,AI스피커
Carey,NHN,출판,20170909,data_798,음성데이터,1461908,스마트워치
Theo,SK텔레콤,구매,20161130,data_656,건강데이터,1932641,AI스피커
Clyda,건강보험심사평가원,출판,20160214,data_862,음성데이터,1331805,AI스피커
Katherine,AWS,출판,20170508,data_196,위치데이터,1202300,삼성페이
Evaline,한국연구재단,수정,20160520,data_597,건강데이터,1338230,AI스피커
Neppie,대한법률구조공단,수정,20180902,data_776,위치데이터,1855455,T머니
Nealie,과학기술정책연구원,수정,20181205,data_393,위치데이터,1043896,삼성페이
Osa,NHN,판매,20160305,data_332,음성데이터,1667182,스마트워치
Emma,AWS,구매,20181009,data_434,위치데이터,1395712,레일플러스
Flora,한국데이터진흥원,출판,20180406,data_434,건강데이터,1035669,AI스피커
Stella,정보통신산업진흥원,판매,20180725,data_966,위치데이터,1305979,레일플러스
Sallie,한국인터넷진흥원,판매,20170327,data_344,의료데이터,1324157,AI스피커
Tilda,건강보험심사평가원,구매,20170309,data_371,건강데이터,1334445,스마트워치
Muriel,한국인터넷진흥원,출판,20160828,data_281,의료데이터,1358479,스마트워치
Jessie,삼성SDS,수정,20180212,data_236,건강데이터,1473266,AI스피커
Mercedes,고려대학교,수정,20160302,data_242,건강데이터,1927398,스마트워치
Joella,상명대학교,판매,20180723,data_718,위치데이터,1752598,T머니
Melva,한국연구재단,출판,20171221,data_911,위치데이터,1614137,캐시비
Osa,한국인터넷진흥원,수정,20180428,data_443,위치데이터,1251740,레일플러스
Amanda,대한법률구조공단,출판,20161124,data_521,음성데이터,1928364,스마트워치
Laura,국립중앙의료원,판매,20160423,data_684,건강데이터,1792027,AI스피커
Ella,한국연구재단,구매,20170905,data_733,위치데이터,1216246,레일플러스
Osa,건강보험심사평가원,구매,20180330,data_907,건강데이터,1227164,AI스피커
Magaret,고려대학교,판매,20180601,data_132,위치데이터,1589424,T머니
Virginia,한국연구재단,출판,20181107,data_397,건강데이터,1179404,스마트워치
Mollie,과학기술정책연구원,판매,20171103,data_434,위치데이터,1765140,삼성페이
Ella,국민건강보험공단,출판,20160922,data_342,위치데이터,1162678,레일플러스
Josephine,SK텔레콤,구매,20171119,data_642,위치데이터,1652146,삼성페이
Magaret,한국과학기술정보연구원,출판,20160521,data_824,의료데이터,1157739,페이션트모니터
Rella,고려대학교,출판,20161128,data_265,위치데이터,1149939,삼성페이
Bama,한국과학기술정보연구원,출판,20180923,data_235,건강데이터,1901052,AI스피커
Josephine,한국연구재단,수정,20170515,data_970,음성데이터,1374361,AI스피커
Fannie,AWS,출판,20180511,data_842,건강데이터,1807129,AI스피커
Belle,숙명여자대학교,수정,20181213,data_622,위치데이터,1197991,삼성페이
Josephine,한국연구재단,출판,20181105,data_639,건강데이터,1739674,AI스피커
Eva,SK텔레콤,판매,20161119,data_724,음성데이터,1210239,스마트워치
Laura,지하철공사,판매,20181004,data_896,건강데이터,1646667,스마트워치
Neppie,지하철공사,판매,20170308,data_431,건강데이터,1214542,스마트워치
Flora,대한법률구조공단,수정,20160302,data_509,의료데이터,1080426,스마트워치
Agens,대한법률구조공단,출판,20180307,data_736,건강데이터,1639799,AI스피커
Jessie,숙명여자대학교,판매,20160304,data_988,의료데이터,1750735,AI스피커
Faith,안랩,구매,20160409,data_174,의료데이터,1671385,스마트워치
Muriel,한국연구재단,수정,20180426,data_311,음성데이터,1647192,스마트워치
Elizabeth,상명대학교,구매,20170202,data_401,건강데이터,1365597,스마트워치
May,정보통신산업진흥원,수정,20180314,data_220,음성데이터,1388431,AI스피커
Lottie,한국연구재단,판매,20170904,data_463,음성데이터,1109577,스마트워치
Electa,국민건강보험공단,판매,20180803,data_557,음성데이터,1451099,AI스피커
Flora,한국과학기술정보연구원,구매,20180831,data_768,의료데이터,1664456,AI스피커
Katherine,국립중앙의료원,수정,20181108,data_587,음성데이터,1643395,AI스피커
Fannie,AWS,출판,20180123,data_811,건강데이터,1477633,AI스피커
Dee,한국데이터진흥원,수정,20170329,data_737,위치데이터,1284325,레일플러스
Olie,대한법률구조공단,구매,20181029,data_971,음성데이터,1352154,스마트워치
Nonie,지하철공사,출판,20180305,data_935,건강데이터,1498592,스마트워치
Lottie,한국개발연구원,수정,20170820,data_126,의료데이터,1406444,스마트워치
Lula,과학기술정책연구원,판매,20170102,data_412,의료데이터,1284462,스마트워치
Maggie,SK텔레콤,판매,20170307,data_238,건강데이터,1473134,스마트워치
Effie,과학기술정책연구원,수정,20180910,data_289,의료데이터,1366777,페이션트모니터
Emma,한국연구재단,구매,20160205,data_793,건강데이터,1477114,AI스피커
Eliza,안랩,판매,20180929,data_874,의료데이터,1713674,스마트워치
Nannie,숙명여자대학교,판매,20181225,data_108,음성데이터,1162165,스마트워치
Melva,상명대학교,구매,20170207,data_349,음성데이터,1457033,AI스피커
Evaline,고려대학교,판매,20170901,data_757,건강데이터,1880307,AI스피커
Josephine,한국과학기술정보연구원,구매,20180410,data_748,음성데이터,1204187,스마트워치
Daisy,대한법률구조공단,구매,20171122,data_231,음성데이터,1896871,AI스피커
Electa,국민건강보험공단,출판,20171210,data_907,의료데이터,1765858,AI스피커
Pearl,SK텔레콤,판매,20160317,data_956,음성데이터,1321942,AI스피커
Virginia,국민건강보험공단,판매,20170112,data_171,의료데이터,1083837,스마트워치
Mercedes,국립중앙의료원,출판,20181219,data_355,의료데이터,1656516,AI스피커
Katherine,한국보건산업진흥원,판매,20160527,data_236,음성데이터,1714821,스마트워치
Cora,NHN,수정,20160430,data_209,건강데이터,1444261,스마트워치
Virginia,한국보건산업진흥원,구매,20160719,data_626,음성데이터,1906110,스마트워치
Stella,CJ올리브네트웍스,수정,20161028,data_121,음성데이터,1439317,스마트워치
Ednah,CJ올리브네트웍스,수정,20160202,data_471,위치데이터,1126404,삼성페이
Viva,CJ올리브네트웍스,출판,20170204,data_485,건강데이터,1425744,스마트워치
Onie,CJ올리브네트웍스,구매,20160101,data_299,음성데이터,1153138,스마트워치
Elizabeth,한국개발연구원,구매,20180501,data_123,건강데이터,1661951,스마트워치
Laura,숙명여자대학교,판매,20161130,data_125,음성데이터,1227578,AI스피커
Eliza,정보통신산업진흥원,판매,20160229,data_443,건강데이터,1438253,스마트워치
Nancy,한국보건산업진흥원,출판,20170322,data_982,음성데이터,1028698,스마트워치
Amanda,SK텔레콤,출판,20160629,data_303,음성데이터,1474024,AI스피커
Julia,정보통신산업진흥원,출판,20181123,data_524,위치데이터,1689088,레일플러스
Melva,과학기술정책연구원,구매,20160410,data_266,음성데이터,1087648,AI스피커
Dinah,국립중앙의료원,출판,20170908,data_555,위치데이터,1027259,T머니
Lanie,NHN,수정,20171210,data_756,음성데이터,1231397,스마트워치
Susie,삼성SDS,구매,20160731,data_518,의료데이터,1526246,스마트워치
Carey,CJ올리브네트웍스,판매,20180108,data_559,위치데이터,1460124,삼성페이
Lanie,숙명여자대학교,출판,20170421,data_759,의료데이터,1478133,스마트워치
Blanche,한국데이터진흥원,구매,20170531,data_835,건강데이터,1360666,AI스피커
Jenette,숙명여자대학교,출판,20170322,data_493,의료데이터,1374757,페이션트모니터
Muriel,상명대학교,출판,20170312,data_318,의료데이터,1999355,AI스피커
Dee,AWS,수정,20171206,data_905,건강데이터,1208666,스마트워치
Josephine,대한법률구조공단,출판,20180816,data_112,위치데이터,1492520,T머니
Mima,한국데이터진흥원,구매,20161117,data_229,음성데이터,1725927,AI스피커
Etta,한국보건산업진흥원,출판,20180117,data_390,음성데이터,1395354,스마트워치
Olie,한국데이터진흥원,수정,20171103,data_876,위치데이터,1620438,삼성페이
Julia,상명대학교,구매,20170630,data_384,음성데이터,1721810,AI스피커
Sallie,고려대학교,출판,20180315,data_150,음성데이터,1251264,AI스피커
Erie,한국연구재단,구매,20170603,data_388,건강데이터,1264523,스마트워치
Dinah,고려대학교,판매,20170104,data_757,위치데이터,1044233,레일플러스
Viva,국민건강보험공단,판매,20160615,data_739,위치데이터,1381731,레일플러스
Alice,숙명여자대학교,수정,20180128,data_861,의료데이터,1435149,AI스피커
Amanda,정보통신산업진흥원,판매,20171006,data_222,건강데이터,1998325,스마트워치
Liller,과학기술정책연구원,구매,20160718,data_682,위치데이터,1859425,캐시비
Nancy,지하철공사,구매,20160321,data_333,의료데이터,1287223,스마트워치
Dee,한국연구재단,수정,20170724,data_524,건강데이터,1685597,AI스피커
Daisy,과학기술정책연구원,구매,20160708,data_836,음성데이터,1868052,AI스피커
Onie,국립중앙의료원,출판,20161219,data_740,위치데이터,1568781,캐시비
Daisy,한국개발연구원,출판,20160218,data_539,건강데이터,1070376,스마트워치
Muriel,대한법률구조공단,구매,20160331,data_891,음성데이터,1946814,스마트워치
Lottie,건강보험심사평가원,출판,20171210,data_694,건강데이터,1619105,AI스피커
Caroline,삼성SDS,출판,20180117,data_400,의료데이터,1935489,페이션트모니터
Onie,숙명여자대학교,판매,20170118,data_795,의료데이터,1672687,페이션트모니터
Clyda,한국데이터진흥원,판매,20170131,data_787,의료데이터,1449990,AI스피커
Sadie,숙명여자대학교,수정,20161110,data_976,건강데이터,1439153,스마트워치
Rosanna,정보통신산업진흥원,판매,20160727,data_499,건강데이터,1261319,스마트워치
Belle,과학기술정책연구원,수정,20160314,data_684,건강데이터,1465763,AI스피커
Etta,정보통신산업진흥원,판매,20170312,data_210,건강데이터,1238435,스마트워치
