소유자,소유자소속,데이터,가격,데이터종류,수집장치,행동,날짜,행위자,행위자소속,데이터,가격,데이터종류,수집장치
조지연,한국법제연구원,data_764,1618351,이동거리데이터,롯데카드,배포,20160505,김연경,안랩,,,,
장하휘,BAYER,data_742,1961482,문서데이터,샤오미AI스피커,생성,20150401,,,,,,
조민애,동국대학교,data_870,1654239,위치데이터,롯데카드,가공,20150705,,,data_288,1806019,의료데이터,삼성페이
한혜미,SK네트웍스,data_379,1616566,문서데이터,T머니,배포,20190719,이주연,한국인터넷진흥원,,,,
최신규,SK건설,data_754,1849131,성별데이터,AITHinkQ,배포,20180207,하인성,국민건강보험공단,,,,
박은아,국립생태원,data_985,1632861,날씨데이터,LG페이,가공,20160316,,,data_808,1504993,음성데이터,AI스피커
조효림,시스코,data_838,1330044,나이데이터,갤럭시워치,가공,20150118,,,data_544,1618760,위치데이터,스마트워치
손효민,국립생태원,data_312,1412963,성별데이터,카카오페이,판매,20170610,박진우,정보통신산업진흥원,,,,
박가영,DB손해보험,data_758,1643225,속도데이터,캐시비,생성,20160923,,,,,,
한주빈,에미레이트항공,data_531,1216099,요일데이터,삼성페이,변환,20150719,,,data_282,1390490,의료데이터,AI스피커
유시현,토탈,data_910,1834386,성별데이터,샤오미AI스피커,생성,20120418,,,,,,
조지아,서울교육대학교,data_408,1889642,나이데이터,KB국민카드,가공,20180810,,,data_645,1661883,위치데이터,삼성페이
최빈우,CJ(주),data_647,1003686,위치데이터,페이션트모니터,생성,20120305,,,,,,
민지관,현대제철,data_599,1344285,날씨데이터,샤오미미밴드,생성,20180324,,,,,,
장강지,한국철도기술연구원,data_616,1295616,이미지데이터,삼성페이,가공,20190517,,,data_167,1242850,건강데이터,스마트워치
이동균,삼성SDI,data_022,1696069,소득데이터,KB국민카드,판매,20160728,김채현,과학기술정책연구원,,,,
조다윤,현대제철,data_100,1148053,속도데이터,페이션트모니터,판매,20151221,이채연,한국보건산업진흥원,,,,
황민호,SK이노베이션,data_052,1515915,나이데이터,캐시비,생성,20120726,,,,,,
박주희,포스코,data_188,1206056,교통데이터,KB국민카드,배포,20160512,강민희,숙명여자대학교,,,,
김현주,노보노디스크,data_871,1699281,소셜데이터,스마트글래스,생성,20180125,,,,,,
민주림,REWE,data_833,1602669,속도데이터,AITHinkQ,생성,20181121,,,,,,
신세나,알파벳,data_086,1549536,주거데이터,삼성페이,생성,20170911,,,,,,
조수균,한국석유공사,data_774,1219444,통화시간데이터,스마트워치,생성,20180914,,,,,,
이민영,(주)한화,data_310,1939865,이미지데이터,LG페이,변환,20130313,,,data_595,1049616,음성데이터,스마트워치
박연주,국가핵융합연구소,data_798,1019981,문서데이터,T머니,생성,20180116,,,,,,
장가영,한국과학창의재단,data_222,1626592,통화시간데이터,갤럭시홈미니,생성,20170429,,,,,,
김민은,일본거래소,data_080,1656636,위치데이터,샤오미AI스피커,가공,20180225,,,data_418,1890494,건강데이터,AI스피커
장예휘,한국GM,data_477,1645650,주거데이터,네이버페이,가공,20170503,,,data_886,1020607,의료데이터,스마트워치
박예찬,SK네트웍스,data_519,1465969,속도데이터,샤오미미밴드,가공,20181212,,,data_632,1131003,건강데이터,AI스피커
서효영,CJ제일제당,data_051,1425116,체온데이터,삼성카드,판매,20121201,권은택,한국개발연구원,,,,
신민니,중앙대학교,data_384,1585481,영상데이터,T머니,생성,20130219,,,,,,
최연주,국민연금공단,data_231,1653956,소셜데이터,페이션트모니터,판매,20170106,배주현,한국데이터진흥원,,,,
박태진,에어부산,data_057,1219262,영상데이터,페이션트모니터,배포,20171001,차준호,한국인터넷진흥원,,,,
민민훈,BAYER,data_958,1665838,음성데이터,LG페이,판매,20130610,정은아,한국연구재단,,,,
추현민,국민대학교,data_572,1468359,교통데이터,애플워치,변환,20130727,,,data_518,1958969,위치데이터,스마트워치
박민연,한국환경공단,data_800,1666306,음성데이터,삼성페이,배포,20171119,이지혜,건강보험심사평가원,,,,
조영주,중국공상은행,data_747,1400626,위치데이터,캐시비,배포,20120210,김태형,고려대학교,,,,
한선민,KB국민은행,data_564,1536851,체온데이터,LG페이,가공,20131218,,,data_435,1219227,음성데이터,스마트워치
장영희,SK디스커버리,data_207,1996568,속도데이터,스마트워치,배포,20150615,이진기,건강보험심사평가원,,,,
최윤슬,한국과학기술정보연구원,data_234,1644516,이동거리데이터,KB국민카드,배포,20160818,백인호,고려대학교,,,,
장해정,GS건설,data_207,1629611,건강데이터,삼성카드,가공,20180516,,,data_991,1465913,위치데이터,스마트워치
김혜지,두산중공업,data_139,1364903,교통데이터,캐시비,배포,20170530,강미나,안랩,,,,
한효림,Volvo,data_385,1511660,이미지데이터,샤오미AI스피커,생성,20170208,,,,,,
남도일,나이키,data_459,1036393,이동거리데이터,샤오미미밴드,생성,20200721,,,,,,
김다원,BankofAmerica,data_235,1538818,의료데이터,T머니,판매,20130310,박진우,AWS,,,,
장효림,루프트한자,data_280,1258881,시청데이터,카카오페이,배포,20160714,권보미,SK텔레콤,,,,
한태윤,런던거래소,data_733,1296539,체온데이터,캐시비,판매,20171229,권은택,CJ올리브네트웍스,,,,
한시람,서울대학교,data_407,1159583,이동거리데이터,네이버페이,가공,20121216,,,data_919,1755002,음성데이터,레일플러스
박아림,홍콩거래소,data_949,1663626,이동거리데이터,삼성페이,판매,20200812,신유나,삼성SDS,,,,
한수아,삼성전자,data_282,1940559,요일데이터,삼성페이,판매,20190428,권은택,국립중앙의료원,,,,
노은식,소상공인시장진흥공단,data_822,1892060,이미지데이터,네이버클로바,가공,20160701,,,data_629,1862034,건강데이터,스마트워치
한지나,(주)LS,data_014,1148460,나이데이터,AITHinkQ,생성,20170808,,,,,,
최현혜,경희대학교,data_238,1289469,음성데이터,네이버페이,생성,20180111,,,,,,
차희루,에어부산,data_865,1639615,통화시간데이터,네이버클로바,판매,20201104,윤정한,한국연구재단,,,,
조다운,한국남부발전,data_917,1882683,이동거리데이터,AITHinkQ,배포,20150823,임찬민,건강보험심사평가원,,,,
추성원,현대제철,data_499,1232066,교통데이터,스마트워치,생성,20200509,,,,,,
조현희,교보생명,data_318,1091820,속도데이터,샤오미AI스피커,생성,20160710,,,,,,
최지희,한국산업기술평가관리원,data_740,1821305,날씨데이터,삼성카드,가공,20120709,,,data_903,1575073,건강데이터,삼성페이
유효연,NH농협금융,data_784,1899300,소셜데이터,갤럭시워치,배포,20161230,김영주,고려대학교,,,,
하윤성,신한은행,data_638,1665360,건강데이터,샤오미미밴드,가공,20161101,,,data_701,1623190,의료데이터,AI스피커
조성후,한국데이터진흥원,data_400,1646266,소셜데이터,KB국민카드,가공,20130403,,,data_480,1871851,의료데이터,스마트워치
오수연,유나이티드헬스케어,data_290,1534618,소셜데이터,롯데카드,변환,20180513,,,data_145,1938821,건강데이터,스마트워치
조인욱,한국개발연구원,data_068,1663883,주거데이터,네이버클로바,변환,20201016,,,data_704,1605672,건강데이터,페이션트모니터
한원지,컴캐스트,data_856,1066166,영상데이터,AITHinkQ,판매,20160420,이지호,안랩,,,,
박성아,식품안전정보원,data_098,1814185,주거데이터,레일플러스,가공,20131227,,,data_278,1573119,음성데이터,스마트워치
최철민,인천국제공항공사,data_586,1513151,영상데이터,갤럭시워치,생성,20180120,,,,,,
김수민,숙명여자대학교,data_459,1896605,소득데이터,애플페이,변환,20161223,,,data_306,1463979,음성데이터,스마트워치
최주희,안랩,data_595,1004233,시청데이터,레일플러스,배포,20160825,박지민,국립중앙의료원,,,,
배효빈,한국관광공사,data_012,1269629,성별데이터,네이버페이,판매,20120531,안지영,과학기술정책연구원,,,,
송가인,토탈,data_382,1830968,이동거리데이터,샤오미AI스피커,생성,20161113,,,,,,
하윤성,P&G,data_243,1015260,체온데이터,KB국민카드,배포,20150505,최서연,지하철공사,,,,
장태윤,한국GM,data_523,1998102,주거데이터,롯데카드,가공,20200509,,,data_112,1515454,위치데이터,AI스피커
장다림,SK종합화학,data_919,1162346,문자데이터,샤오미AI스피커,생성,20120325,,,,,,
장민영,한국예택결제원,data_289,1124061,영상데이터,스마트글래스,판매,20120304,박지민,건강보험심사평가원,,,,
박상아,한국과학기술정보연구원,data_086,1866969,요일데이터,네이버페이,생성,20180322,,,,,,
이시현,버크셔헤더웨이,data_226,1661123,통화시간데이터,갤럭시홈미니,가공,20121127,,,data_889,1733402,의료데이터,AI스피커
박원빈,ICBC,data_217,1041611,문자데이터,네이버클로바,가공,20120315,,,data_238,1838789,건강데이터,삼성페이
김원혜,한국남부발전,data_339,1606366,소득데이터,레일플러스,가공,20160617,,,data_100,1135425,건강데이터,스마트워치
윤민호,공무원연금공단,data_935,1019855,소셜데이터,삼성카드,가공,20170914,,,data_703,1083219,건강데이터,AI스피커
박민장,한국석유공사,data_030,1526506,나이데이터,롯데카드,배포,20160221,이치훈,정보통신산업진흥원,,,,
최윤하,한국소방산업기술원,data_862,1483684,시청데이터,샤오미미밴드,가공,20160729,,,data_223,1628342,위치데이터,페이션트모니터
최장솔,한국산업기술평가관리원,data_005,1145899,주거데이터,애플워치,변환,20180427,,,data_667,1848335,건강데이터,스마트워치
최나인,한국과학기술원,data_661,1615038,시청데이터,스마트워치,생성,20190424,,,,,,
박용현,SK네트웍스,data_638,1446265,건강데이터,갤럭시워치,생성,20160502,,,,,,
최혜지,중앙대학교,data_468,1916185,소셜데이터,샤오미미밴드,판매,20160606,김태형,삼성SDS,,,,
이동혁,도로교통공단,data_609,1026095,시청데이터,코어스마트밴드,배포,20120930,권보미,고려대학교,,,,
변백현,한국전력거래소,data_456,1146665,체온데이터,코어스마트밴드,판매,20170311,최민호,국민건강보험공단,,,,
김소현,건강심사평가원,data_800,1618222,소셜데이터,네이버페이,생성,20181031,,,,,,
김민빈,SK건설,data_911,1868860,문자데이터,네이버클로바,배포,20120227,서주현,건강보험심사평가원,,,,
장영성,에어인턴,data_188,1259039,나이데이터,KB국민카드,변환,20170507,,,data_873,1422155,위치데이터,AI스피커
최도영,코카콜라,data_417,1564386,이동거리데이터,KB국민카드,배포,20180504,배주현,한국인터넷진흥원,,,,
황준선,인천국제공항공사,data_152,1983638,행동이력데이터,샤오미미밴드,변환,20130225,,,data_413,1130948,위치데이터,AI스피커
류혜진,한화토탈,data_721,1846520,이미지데이터,삼성페이,배포,20120801,김연경,한국연구재단,,,,
장승주,롯데쇼핑,data_835,1355265,의료데이터,샤오미미밴드,판매,20160404,고은성,NHN,,,,
홍지동,LG전자,data_120,1241560,문서데이터,갤럭시워치,배포,20171108,하인성,NHN,,,,
박민석,현대위아,data_018,1380566,위치데이터,코어스마트밴드,생성,20170411,,,,,,
한현경,아시아나항공카고,data_455,1662996,소득데이터,캐시비,판매,20130220,채수빈,과학기술정책연구원,,,,
최독자,상명대학교,data_082,1241109,의료데이터,KB국민카드,생성,20170804,,,,,,
장혜은,에어포항,data_520,1328959,요일데이터,삼성페이,판매,20150822,정은비,건강보험심사평가원,,,,
조주민,현대위아,data_113,1568464,의료데이터,KB국민카드,생성,20131028,,,,,,
조지민,마이크로소프트,data_563,1653663,문자데이터,구글홈미니,변환,20201108,,,data_412,1590390,의료데이터,삼성페이
김원아,GILEADSCIENCE,data_785,1645904,행동이력데이터,애플페이,생성,20160812,,,,,,
최기정,경희대학교,data_532,1646192,위치데이터,네이버페이,가공,20180218,,,data_199,1627189,위치데이터,스마트워치
류규림,LG전자,data_725,1025226,건강데이터,레일플러스,생성,20130506,,,,,,
주상준,로레알,data_404,1861842,소셜데이터,구글홈미니,생성,20131221,,,,,,
윤송이,넷플릭스,data_292,1191043,나이데이터,카카오페이,변환,20170428,,,data_786,1241310,건강데이터,스마트워치
김혜현,SK가스,data_158,1924599,음성데이터,네이버페이,가공,20170828,,,data_204,1849590,의료데이터,페이션트모니터
최민애,나이키,data_818,1291262,위치데이터,갤럭시홈미니,생성,20161115,,,,,,
김용민,한국임업진흥원,data_526,1354156,건강데이터,샤오미AI스피커,변환,20181117,,,data_245,1617175,의료데이터,레일플러스
오림지,일본거래소,data_804,1325036,문서데이터,애플페이,가공,20171211,,,data_121,1258881,의료데이터,페이션트모니터
전승문,한국주택금융공사,data_911,1288226,성별데이터,AITHinkQ,배포,20170722,우진주,한국인터넷진흥원,,,,
최치석,한국토지주택공사,data_892,1240634,통화시간데이터,LG페이,가공,20180115,,,data_555,1170681,의료데이터,페이션트모니터
김의현,ICBC,data_125,1635503,요일데이터,샤오미AI스피커,판매,20200423,장보라,국민건강보험공단,,,,
최휘희,ALTRIA,data_767,1433262,이미지데이터,스마트워치,가공,20160819,,,data_830,1082136,의료데이터,AI스피커
김성주,성균관대학교,data_729,1832261,속도데이터,레일플러스,생성,20181125,,,,,,
한유민,SK건설,data_730,1661685,건강데이터,AITHinkQ,생성,20150617,,,,,,
이태기,한국생산기술연구원,data_730,1010406,주거데이터,레일플러스,배포,20170701,이연희,정보통신산업진흥원,,,,
최수민,한국소방산업기술원,data_208,1232159,문자데이터,캐시비,생성,20171128,,,,,,
장민서,건국대학교,data_209,1848165,소득데이터,네이버클로바,생성,20191012,,,,,,
이연희,정보통신산업진흥원,data_730,1685108,요일데이터,롯데카드,판매,20170317,양유정,한국데이터진흥원,,,,
박지림,CJ(주),data_554,1828003,교통데이터,네이버클로바,배포,20150726,임나연,한국개발연구원,,,,
황준면,AWS,data_820,1609505,시간데이터,LG페이,가공,20160821,,,data_980,1299268,건강데이터,삼성페이
남가림,한국과학기술정보연구원,data_516,1616026,영상데이터,LG페이,판매,20161123,신유나,대한법률구조공단,,,,
조수정,한국과학창의재단,data_634,1066951,통화시간데이터,샤오미미밴드,배포,20200702,안소희,상명대학교,,,,
박신규,서울대학교,data_923,1636655,통화시간데이터,신한카드,배포,20120701,이태민,고려대학교,,,,
오동정,중앙대학교,data_600,1543920,시청데이터,페이션트모니터,생성,20120314,,,,,,
이보민,오라클,data_014,1931628,이동거리데이터,스마트워치,판매,20171119,임윤아,한국보건산업진흥원,,,,
조의휘,한국자산관리공사,data_099,1366964,음성데이터,네이버페이,가공,20190613,,,data_670,1158166,건강데이터,T머니
임수임,한국과학기술연구원,data_887,1366894,문서데이터,갤럭시홈미니,가공,20130805,,,data_250,1426430,음성데이터,스마트워치
유준성,DB손해보험,data_303,1592622,성별데이터,스마트워치,배포,20180609,남도일,안랩,,,,
최성규,지엔스,data_931,1632309,위치데이터,롯데카드,가공,20170509,,,data_910,1104050,건강데이터,삼성페이
박다혜,한국남부발전,data_113,1946583,시간데이터,갤럭시홈미니,가공,20200714,,,data_434,1279476,위치데이터,스마트워치
최정규,두산중공업,data_775,1030512,이미지데이터,애플워치,가공,20150417,,,data_121,1753158,위치데이터,AI스피커
장예화,위쳇,data_530,1952654,소득데이터,KB국민카드,변환,20180416,,,data_899,1585833,위치데이터,AI스피커
효규빈,Mercedes-Benz,data_694,1400158,통화시간데이터,삼성페이,생성,20180905,,,,,,
백인아,CJ올리브네트웍스,data_504,1960984,문서데이터,애플페이,배포,20150110,장보라,건강보험심사평가원,,,,
김환원,홈디포,data_082,1699662,소셜데이터,스마트글래스,변환,20120101,,,data_163,1556448,건강데이터,AI스피커
박원현,현대건설,data_651,1526693,행동이력데이터,카카오페이,생성,20190628,,,,,,
최상아,KLM,data_010,1320161,시간데이터,네이버페이,가공,20120712,,,data_532,1165508,음성데이터,스마트워치
장예웅,한국수자원공사,data_532,1165508,음성데이터,스마트워치,가공,20150102,,,data_214,1138724,건강데이터,레일플러스
최민희,NHN,data_214,1138724,건강데이터,레일플러스,가공,20120723,,,data_674,1940962,문자데이터,삼성페이
한혁민,한국해양과학기술원,data_587,1206835,건강데이터,샤오미미밴드,배포,20130827,김영주,삼성SDS,,,,
권희택,영화진흥위원회,data_265,1269806,행동이력데이터,KB국민카드,생성,20161015,,,,,,
함성원,알리바바,data_083,1348536,통화시간데이터,신한카드,배포,20190806,이규형,AWS,,,,
한소랑,연세대학교,data_391,1925053,행동이력데이터,KB국민카드,생성,20191016,,,,,,
최효현,SINOPEC,data_842,1160941,속도데이터,롯데카드,변환,20130103,,,data_914,1663036,의료데이터,캐시비
박나윤,서울시립대학교,data_708,1362626,문자데이터,애플페이,가공,20190811,,,data_208,1958960,음성데이터,레일플러스
최태경,소상공인시장진흥공단,data_933,1345002,나이데이터,카카오페이,판매,20201212,황민현,한국보건산업진흥원,,,,
조연아,한화캐미칼,data_443,1934452,속도데이터,페이션트모니터,가공,20170301,,,data_218,1557759,음성데이터,AI스피커
한아영,사노피,data_224,1863363,위치데이터,KB국민카드,생성,20120615,,,,,,
함성원,한국과학기술정보연구원,data_672,1545261,날씨데이터,코어스마트밴드,생성,20120214,,,,,,
서영솔,이스타항공,data_933,1051620,주거데이터,스마트워치,배포,20120514,최서연,한국데이터진흥원,,,,
장보람,한국법제연구원,data_666,1032163,의료데이터,애플페이,변환,20120614,,,data_372,1137356,음성데이터,AI스피커
김태진,LG전자,data_372,1334908,주거데이터,카카오페이,배포,20150817,강아영,국립중앙의료원,,,,
안지영,국립중앙의료원,data_349,1956118,음성데이터,롯데카드,배포,20200702,김태형,고려대학교,,,,
박의현,KEB하나은행,data_399,1682996,요일데이터,애플페이,판매,20120930,정휘인,AWS,,,,
서민기,KB손해보험,data_829,1069165,문자데이터,애플워치,변환,20180527,,,data_498,1021518,건강데이터,AI스피커
최해주,중국공상은행,data_291,1183621,소셜데이터,캐시비,가공,20190608,,,data_528,1412253,의료데이터,T머니
민준홍,에어포항,data_756,1044622,문서데이터,갤럭시워치,판매,20180812,정윤오,CJ올리브네트웍스,,,,
강미림,SK건설,data_947,1653950,시청데이터,롯데카드,배포,20150728,김민석,CJ올리브네트웍스,,,,
김예빈,대림산업,data_160,1380149,영상데이터,롯데카드,생성,20160904,,,,,,
장아름,한국연구재단,data_642,1291956,문자데이터,카카오페이,배포,20151207,박수영,한국보건산업진흥원,,,,
최종현,한국공항공사,data_222,1314893,건강데이터,삼성페이,생성,20121210,,,,,,
배원정,한국관광공사,data_412,1843633,문서데이터,네이버페이,가공,20191118,,,data_324,1489501,음성데이터,AI스피커
장종원,한국과학창의재단,data_785,1129630,성별데이터,삼성카드,가공,20131226,,,data_647,1444765,위치데이터,스마트워치
이휘림,허니웰,data_817,1944545,행동이력데이터,페이션트모니터,배포,20170812,이지호,안랩,,,,
이민림,신용보증기금,data_488,1316152,체온데이터,LG페이,변환,20160421,,,data_664,1465890,건강데이터,스마트워치
김다림,암베브,data_520,1855662,이미지데이터,삼성카드,생성,20120514,,,,,,
김세현,(주)LG,data_254,1385613,시간데이터,네이버클로바,변환,20160516,,,data_776,1284932,음성데이터,페이션트모니터
장지원,기아차,data_324,1489501,음성데이터,AI스피커,배포,20191015,안지영,국립중앙의료원,,,,
남지일,우리은행,data_971,1481052,속도데이터,스마트글래스,배포,20120121,김영주,SK텔레콤,,,,
임대민,GILEADSCIENCE,data_029,1883620,주거데이터,갤럭시워치,배포,20121006,정은비,국민건강보험공단,,,,
한서언,(주)LS,data_479,1461511,문자데이터,스마트워치,생성,20200724,,,,,,
장현지,IBM,data_324,1499849,교통데이터,레일플러스,배포,20130621,오세훈,대한법률구조공단,,,,
장자원,홈디포,data_832,1828381,요일데이터,스마트워치,생성,20180208,,,,,,
조보아,대우조선해양,data_484,1100291,나이데이터,롯데카드,가공,20120531,,,data_550,1969759,음성데이터,AI스피커
한혜형,스위스거래소,data_213,1813204,행동이력데이터,갤럭시홈미니,생성,20150507,,,,,,
류규휘,머크,data_265,1865642,의료데이터,갤럭시홈미니,배포,20131029,신유나,한국개발연구원,,,,
안지영,국립중앙의료원,data_822,1169606,날씨데이터,레일플러스,판매,20200716,양유정,지하철공사,,,,
정수인,보잉,data_542,1822144,체온데이터,신한카드,생성,20161207,,,,,,
최선영,한국철도시설공단,data_709,1326865,소득데이터,애플워치,가공,20150820,,,data_555,1202866,의료데이터,레일플러스
최세현,알리안츠,data_342,1216619,체온데이터,캐시비,가공,20170608,,,data_865,1614829,위치데이터,T머니
김태훈,한국수자원공사,data_919,1630606,음성데이터,페이션트모니터,가공,20200521,,,data_192,1066600,위치데이터,페이션트모니터
장혜은,국민대학교,data_226,1522196,소셜데이터,애플워치,배포,20121012,박지민,정보통신산업진흥원,,,,
최철우,한국시설안전공단,data_558,1484239,음성데이터,AITHinkQ,가공,20170324,,,data_545,1891280,음성데이터,AI스피커
