소유자,소유자소속,데이터,가격,데이터종류,수집장치,행동,날짜,행위자,행위자소속,데이터,가격,데이터종류,수집장치
윤소호,CJ올리브네트웍스,data_294,1512488,의료데이터,스마트워치,배포,20170520,안지영,AWS,,,,
이지혜,국민건강보험공단,data_773,1532579,음성데이터,AI스피커,가공,20181023,김소정,숙명여자대학교,data_692,1590394,의료데이터,스마트워치
유시아,CJ올리브네트웍스,data_981,1889258,위치데이터,캐시비,생성,20171209,,,,,,
안소희,한국보건산업진흥원,data_273,1054949,음성데이터,스마트워치,생성,20170802,,,,,,
임찬민,SK텔레콤,data_978,1118186,음성데이터,스마트워치,변환,20160919,도경수,대한법률구조공단,data_376,1021010,위치데이터,스마트워치
이재인,SK텔레콤,data_221,1768343,의료데이터,AI스피커,생성,20181006,,,,,,
서영호,한국과학기술정보연구원,data_807,1327007,음성데이터,AI스피커,전달,20170520,하재우,SK텔레콤,,,,
이규형,한국개발연구원,data_996,1454274,음성데이터,스마트워치,수정,20170421,김칫국,한국연구재단,data_986,1098141,위치데이터,삼성페이
김다현,지하철공사,data_588,1839721,위치데이터,레일플러스,전달,20170520,서주현,숙명여자대학교,,,,
서지수,AWS,data_830,1167514,건강데이터,AI스피커,생성,20160930,,,,,,
서영호,정보통신산업진흥원,data_488,1200339,위치데이터,캐시비,변환,20170520,오세훈,안랩,data_317,1385129,위치데이터,페이션트모니터
박지민,한국인터넷진흥원,data_742,1401572,위치데이터,T머니,생성,20181225,,,,,,
양유정,한국보건산업진흥원,data_819,1465721,위치데이터,삼성페이,가공,20160815,민경아,건강보험심사평가원,data_980,1636990,건강데이터,페이션트모니터
장보라,삼성SDS,data_110,1653674,의료데이터,스마트워치,배포,20170520,정예인,안랩,,,,
정다솔,한국보건산업진흥원,data_531,1709505,음성데이터,AI스피커,수정,20171120,김다현,국립중앙의료원,data_898,1202987,위치데이터,T머니
차준호,과학기술정책연구원,data_561,1849451,위치데이터,T머니,변환,20170520,이규형,CJ올리브네트웍스,data_316,1535091,위치데이터,스마트워치
박은태,한국데이터진흥원,data_667,1891351,음성데이터,스마트워치,생성,20161023,,,,,,
양유정,한국연구재단,data_344,1998735,건강데이터,스마트워치,가공,20160624,양유정,대한법률구조공단,data_524,1754078,음성데이터,AI스피커
정윤오,정보통신산업진흥원,data_227,1647218,의료데이터,페이션트모니터,전달,20170520,서민지,한국연구재단,,,,
박은태,한국연구재단,data_142,1802363,건강데이터,AI스피커,가공,20180518,정은아,국립중앙의료원,data_803,1848165,음성데이터,스마트워치
하인성,한국개발연구원,data_410,1921999,의료데이터,AI스피커,수정,20180324,차준호,상명대학교,data_885,1721312,의료데이터,AI스피커
차시루,국립중앙의료원,data_527,1480463,건강데이터,스마트워치,배포,20170520,유정연,고려대학교,,,,
최서연,한국보건산업진흥원,data_777,1670406,음성데이터,스마트워치,가공,20170304,김이진,대한법률구조공단,data_856,1082759,음성데이터,스마트워치
양유정,숙명여자대학교,data_511,1240531,위치데이터,T머니,생성,20170918,,,,,,
박은태,AWS,data_122,1256552,의료데이터,AI스피커,생성,20160308,,,,,,
양유정,한국개발연구원,data_108,1808463,음성데이터,스마트워치,가공,20180315,임윤아,CJ올리브네트웍스,data_687,1659004,음성데이터,페이션트모니터
정다솔,국립중앙의료원,data_345,1121962,건강데이터,스마트워치,가공,20160406,임소윤,NHN,data_415,1248059,위치데이터,AI스피커
장보라,한국과학기술정보연구원,data_249,1136703,건강데이터,스마트워치,판매,20170520,정예인,국민건강보험공단,,,,
김태형,한국인터넷진흥원,data_121,1029765,건강데이터,AI스피커,수정,20180520,김소정,한국인터넷진흥원,data_710,1303756,음성데이터,페이션트모니터
윤정한,한국개발연구원,data_218,1841278,음성데이터,AI스피커,생성,20170425,,,,,,
안소희,한국데이터진흥원,data_272,1648521,건강데이터,스마트워치,전달,20170520,정다솔,한국과학기술정보연구원,,,,
배주현,한국개발연구원,data_339,1090988,의료데이터,페이션트모니터,수정,20171007,고은성,지하철공사,data_225,1744141,음성데이터,AI스피커
강한나,안랩,data_383,1803265,위치데이터,T머니,배포,20170520,강민희,대한법률구조공단,,,,
김이진,건강보험심사평가원,data_344,1637287,의료데이터,페이션트모니터,판매,20170520,황민현,숙명여자대학교,,,,
김다현,AWS,data_495,1237827,의료데이터,페이션트모니터,배포,20170520,서지수,대한법률구조공단,,,,
이주연,상명대학교,data_386,1866337,위치데이터,캐시비,생성,20180104,,,,,,
김태형,국민건강보험공단,data_159,1311711,음성데이터,스마트워치,배포,20170520,문태일,한국연구재단,,,,
서영호,건강보험심사평가원,data_197,1746230,음성데이터,AI스피커,변환,20170520,정은아,고려대학교,data_118,1433546,의료데이터,스마트워치
김영주,숙명여자대학교,data_270,1773157,의료데이터,스마트워치,생성,20160419,,,,,,
임윤아,CJ올리브네트웍스,data_825,1735983,위치데이터,T머니,생성,20170728,,,,,,
윤정한,상명대학교,data_952,1463581,건강데이터,AI스피커,판매,20170520,이지혜,한국연구재단,,,,
이연희,한국보건산업진흥원,data_397,1670476,음성데이터,스마트워치,전달,20170520,백인호,NHN,,,,
문태일,국립중앙의료원,data_217,1816066,건강데이터,스마트워치,변환,20170520,정예인,한국개발연구원,data_516,1584979,음성데이터,스마트워치
고은성,안랩,data_324,1123262,건강데이터,스마트워치,생성,20180213,,,,,,
정은아,건강보험심사평가원,data_366,1080394,의료데이터,AI스피커,가공,20170206,안소희,한국연구재단,data_648,1367156,건강데이터,레일플러스
이진기,한국연구재단,data_141,1676708,위치데이터,레일플러스,생성,20161217,,,,,,
문태일,상명대학교,data_183,1485088,위치데이터,삼성페이,가공,20180628,김준면,숙명여자대학교,data_832,1868724,음성데이터,AI스피커
배유빈,한국보건산업진흥원,data_317,1139672,위치데이터,T머니,생성,20161231,,,,,,
임찬민,상명대학교,data_555,1974477,위치데이터,삼성페이,전달,20170520,백인호,CJ올리브네트웍스,,,,
윤정한,CJ올리브네트웍스,data_558,1807155,건강데이터,AI스피커,생성,20160913,,,,,,
김이진,삼성SDS,data_115,1717675,위치데이터,삼성페이,전달,20170520,임윤아,한국개발연구원,,,,
임소윤,SK텔레콤,data_184,1914618,위치데이터,T머니,배포,20170520,김태형,한국과학기술정보연구원,,,,
강민희,한국과학기술정보연구원,data_446,1075938,건강데이터,AI스피커,가공,20171102,양유정,국민건강보험공단,data_750,1056103,음성데이터,스마트워치
박은태,한국개발연구원,data_597,1429726,위치데이터,T머니,판매,20170520,김칫국,숙명여자대학교,,,,
차시루,삼성SDS,data_733,1793778,음성데이터,AI스피커,변환,20161121,김민석,국립중앙의료원,data_994,1497253,건강데이터,삼성페이
장보라,고려대학교,data_128,1627544,위치데이터,삼성페이,배포,20170520,양유정,SK텔레콤,,,,
이연희,상명대학교,data_349,1930145,의료데이터,페이션트모니터,가공,20180501,정예인,건강보험심사평가원,data_468,1891853,건강데이터,캐시비
배유빈,한국과학기술정보연구원,data_849,1957411,의료데이터,스마트워치,가공,20170212,하재우,한국과학기술정보연구원,data_338,1971482,의료데이터,스마트워치
임찬민,한국과학기술정보연구원,data_490,1880390,건강데이터,스마트워치,판매,20170520,강민희,한국과학기술정보연구원,,,,
김이진,정보통신산업진흥원,data_409,1324207,건강데이터,AI스피커,가공,20180724,김현민,정보통신산업진흥원,data_972,1144398,음성데이터,스마트워치
김연경,CJ올리브네트웍스,data_639,1587596,의료데이터,스마트워치,생성,20170405,,,,,,
이규형,삼성SDS,data_523,1158832,건강데이터,AI스피커,생성,20161213,,,,,,
정다솔,안랩,data_950,1809311,위치데이터,레일플러스,판매,20170520,윤정한,한국데이터진흥원,,,,
김소정,국민건강보험공단,data_803,1560784,의료데이터,페이션트모니터,변환,20170520,김이진,고려대학교,data_857,1851351,건강데이터,페이션트모니터
윤정한,지하철공사,data_846,1600633,음성데이터,AI스피커,배포,20170520,김연경,숙명여자대학교,,,,
이태민,CJ올리브네트웍스,data_286,1632309,의료데이터,페이션트모니터,가공,20171016,김지우,한국인터넷진흥원,data_859,1127959,건강데이터,스마트워치
김이진,안랩,data_503,1924010,음성데이터,스마트워치,가공,20160929,강한나,국립중앙의료원,data_728,1665282,건강데이터,AI스피커
유정연,과학기술정책연구원,data_381,1939430,음성데이터,AI스피커,생성,20180812,,,,,,
배주현,숙명여자대학교,data_319,1612966,건강데이터,스마트워치,전달,20170520,임윤아,한국인터넷진흥원,,,,
박수영,건강보험심사평가원,data_893,1486195,건강데이터,AI스피커,변환,20170520,이민형,한국과학기술정보연구원,data_535,1591799,음성데이터,AI스피커
김연경,지하철공사,data_230,1457272,위치데이터,T머니,전달,20170520,민경아,SK텔레콤,,,,
김이진,국민건강보험공단,data_646,1703018,건강데이터,AI스피커,판매,20170520,김지우,AWS,,,,
양유정,과학기술정책연구원,data_659,1647572,위치데이터,캐시비,생성,20180518,,,,,,
임윤아,SK텔레콤,data_384,1248533,위치데이터,삼성페이,생성,20180714,,,,,,
서민지,안랩,data_692,1044727,건강데이터,스마트워치,배포,20170520,윤소호,한국보건산업진흥원,,,,
양유정,지하철공사,data_394,1200870,위치데이터,레일플러스,배포,20170520,양유정,한국개발연구원,,,,
권은택,건강보험심사평가원,data_996,1428212,위치데이터,삼성페이,변환,20170520,김이진,국민건강보험공단,data_973,1479965,음성데이터,스마트워치
정윤오,SK텔레콤,data_656,1932641,건강데이터,AI스피커,판매,20170520,도경수,건강보험심사평가원,,,,
이지호,한국연구재단,data_656,1797659,위치데이터,레일플러스,전달,20170520,이민형,지하철공사,,,,
윤정한,안랩,data_120,1739968,음성데이터,스마트워치,배포,20170520,장보라,NHN,,,,
임나연,숙명여자대학교,data_852,1467015,의료데이터,AI스피커,판매,20170520,임찬민,삼성SDS,,,,
양유정,한국과학기술정보연구원,data_525,1128533,위치데이터,T머니,가공,20170903,양유정,국민건강보험공단,data_836,1815244,의료데이터,스마트워치
김태형,한국보건산업진흥원,data_870,1586337,건강데이터,AI스피커,변환,20170520,김다현,국립중앙의료원,data_908,1917582,의료데이터,캐시비
서영호,한국개발연구원,data_101,1157296,음성데이터,스마트워치,변환,20170520,정은아,한국연구재단,data_225,1357146,위치데이터,T머니
박은태,삼성SDS,data_781,1605766,위치데이터,삼성페이,전달,20170520,이재인,CJ올리브네트웍스,,,,
이태민,고려대학교,data_674,1508992,의료데이터,페이션트모니터,생성,20171124,,,,,,
최서연,정보통신산업진흥원,data_347,1793892,음성데이터,스마트워치,생성,20170813,,,,,,
유시아,한국개발연구원,data_933,1159597,위치데이터,T머니,변환,20170520,유지애,숙명여자대학교,data_723,1174281,음성데이터,AI스피커
서영호,한국연구재단,data_163,1305236,위치데이터,T머니,변환,20170520,서지수,숙명여자대학교,data_486,1772512,의료데이터,페이션트모니터
최민호,정보통신산업진흥원,data_248,1159506,의료데이터,페이션트모니터,수정,20170420,유지애,SK텔레콤,data_613,1336644,음성데이터,AI스피커
강민희,한국인터넷진흥원,data_210,1581538,건강데이터,스마트워치,가공,20160507,김윤석,건강보험심사평가원,data_281,1166318,위치데이터,스마트워치
이태민,상명대학교,data_751,1109348,위치데이터,T머니,전달,20170520,양유정,한국데이터진흥원,,,,
김성규,국립중앙의료원,data_180,1985946,의료데이터,스마트워치,수정,20161222,김연경,SK텔레콤,data_888,1347991,위치데이터,AI스피커
박수영,한국연구재단,data_255,1373742,건강데이터,스마트워치,생성,20181031,,,,,,
우진주,삼성SDS,data_880,1900925,의료데이터,AI스피커,생성,20180508,,,,,,
김준면,한국과학기술정보연구원,data_564,1978288,위치데이터,삼성페이,생성,20170412,,,,,,
김현민,지하철공사,data_143,1291804,위치데이터,T머니,생성,20170228,,,,,,
정예인,SK텔레콤,data_491,1184219,건강데이터,AI스피커,전달,20170520,이재인,삼성SDS,,,,
민경아,한국데이터진흥원,data_896,1158155,음성데이터,스마트워치,생성,20170301,,,,,,
백인호,NHN,data_932,1971569,위치데이터,삼성페이,생성,20180902,,,,,,
최민호,국립중앙의료원,data_939,1835196,건강데이터,AI스피커,수정,20170228,이지혜,한국개발연구원,data_546,1537163,위치데이터,캐시비
이치훈,상명대학교,data_915,1675028,음성데이터,AI스피커,판매,20170520,김태형,AWS,,,,
김준면,한국보건산업진흥원,data_190,1661220,위치데이터,레일플러스,수정,20180717,안소희,국립중앙의료원,data_250,1913624,건강데이터,AI스피커
이민형,국민건강보험공단,data_176,1995800,건강데이터,AI스피커,생성,20160908,,,,,,
서민지,NHN,data_271,1312177,음성데이터,AI스피커,수정,20170704,이규형,한국인터넷진흥원,data_174,1795044,위치데이터,스마트워치
전소연,AWS,data_945,1019598,위치데이터,삼성페이,수정,20180112,김민석,숙명여자대학교,data_643,1807579,건강데이터,T머니
김이진,과학기술정책연구원,data_692,1234547,의료데이터,스마트워치,수정,20180320,양유정,한국과학기술정보연구원,data_248,1364903,건강데이터,스마트워치
양유정,한국연구재단,data_668,1613068,위치데이터,캐시비,배포,20170520,서가영,정보통신산업진흥원,,,,
권보미,CJ올리브네트웍스,data_386,1165655,건강데이터,스마트워치,수정,20180221,정예인,과학기술정책연구원,data_441,1084679,위치데이터,T머니
민경아,대한법률구조공단,data_884,1046213,건강데이터,스마트워치,변환,20170520,안소희,한국과학기술정보연구원,data_565,1483628,음성데이터,스마트워치
민경아,한국과학기술정보연구원,data_368,1813500,음성데이터,AI스피커,가공,20170831,문태일,한국연구재단,data_779,1244436,의료데이터,AI스피커
권보미,지하철공사,data_209,1786573,위치데이터,캐시비,배포,20170520,유정연,한국개발연구원,,,,
정다솔,국립중앙의료원,data_684,1702422,의료데이터,페이션트모니터,생성,20181218,,,,,,
이규형,삼성SDS,data_105,1527481,건강데이터,AI스피커,생성,20181109,,,,,,
정은비,국립중앙의료원,data_720,1550587,의료데이터,스마트워치,가공,20160218,김현민,CJ올리브네트웍스,data_538,1645505,음성데이터,스마트워치
임나연,상명대학교,data_147,1903930,위치데이터,캐시비,전달,20170520,박수영,삼성SDS,,,,
이연희,한국보건산업진흥원,data_545,1047555,의료데이터,페이션트모니터,수정,20160919,권보미,과학기술정책연구원,data_578,1803014,의료데이터,페이션트모니터
김민석,한국연구재단,data_431,1048884,의료데이터,AI스피커,가공,20170227,안지영,한국데이터진흥원,data_308,1305622,위치데이터,AI스피커
김연경,한국보건산업진흥원,data_786,1813804,의료데이터,스마트워치,생성,20160608,,,,,,
김소정,NHN,data_921,1211290,위치데이터,레일플러스,판매,20170520,최민호,AWS,,,,
임소윤,과학기술정책연구원,data_283,1639583,위치데이터,삼성페이,생성,20180823,,,,,,
박수영,NHN,data_475,1335883,위치데이터,캐시비,생성,20170723,,,,,,
이주연,SK텔레콤,data_718,1467150,위치데이터,캐시비,생성,20170610,,,,,,
박수영,SK텔레콤,data_988,1752619,의료데이터,페이션트모니터,생성,20161102,,,,,,
황민현,국민건강보험공단,data_187,1321972,의료데이터,페이션트모니터,전달,20170520,배주현,한국과학기술정보연구원,,,,
김준면,고려대학교,data_215,1168016,위치데이터,캐시비,전달,20170520,이규형,한국인터넷진흥원,,,,
김칫국,숙명여자대학교,data_669,1509637,의료데이터,AI스피커,생성,20160916,,,,,,
이치훈,국민건강보험공단,data_364,1843325,위치데이터,레일플러스,가공,20180121,황민현,NHN,data_613,1136784,건강데이터,AI스피커
권보아,한국인터넷진흥원,data_628,1258103,음성데이터,AI스피커,전달,20170520,안소희,한국인터넷진흥원,,,,
김영주,NHN,data_738,1119870,건강데이터,스마트워치,수정,20160506,배주현,상명대학교,data_228,1532919,음성데이터,T머니
최민호,국민건강보험공단,data_762,1247987,위치데이터,캐시비,수정,20161006,박지민,한국데이터진흥원,data_627,1233728,위치데이터,AI스피커
임윤아,한국인터넷진흥원,data_154,1903343,위치데이터,레일플러스,변환,20170520,김성규,한국연구재단,data_635,1692630,음성데이터,스마트워치
김연경,상명대학교,data_543,1452160,건강데이터,AI스피커,수정,20170327,정은아,한국과학기술정보연구원,data_866,1606794,위치데이터,AI스피커
정예인,CJ올리브네트웍스,data_653,1719764,의료데이터,페이션트모니터,전달,20170520,양유정,고려대학교,,,,
이지호,국립중앙의료원,data_351,1834796,건강데이터,스마트워치,변환,20170520,김이진,한국보건산업진흥원,data_280,1859644,음성데이터,스마트워치
오세훈,한국보건산업진흥원,data_623,1162144,건강데이터,AI스피커,생성,20180809,,,,,,
백인호,정보통신산업진흥원,data_151,1555346,의료데이터,페이션트모니터,전달,20170520,이민형,안랩,,,,
최서연,한국과학기술정보연구원,data_830,1712790,위치데이터,레일플러스,전달,20170520,전소연,숙명여자대학교,,,,
김다현,한국연구재단,data_182,1537570,의료데이터,AI스피커,수정,20180920,김이진,지하철공사,data_715,1807963,건강데이터,T머니
정은아,안랩,data_721,1764263,건강데이터,스마트워치,생성,20180624,,,,,,
이채연,지하철공사,data_487,1693116,음성데이터,AI스피커,배포,20170520,이수현,대한법률구조공단,,,,
장보라,CJ올리브네트웍스,data_303,1724145,건강데이터,AI스피커,배포,20170520,서주현,과학기술정책연구원,,,,
서지수,안랩,data_607,1206654,음성데이터,스마트워치,가공,20180222,박지민,정보통신산업진흥원,data_803,1456591,건강데이터,스마트워치
박은태,상명대학교,data_349,1457033,음성데이터,AI스피커,판매,20170520,김태형,삼성SDS,,,,
이지혜,상명대학교,data_565,1654210,건강데이터,스마트워치,변환,20170520,차준호,과학기술정책연구원,data_191,1674343,의료데이터,삼성페이
이진기,정보통신산업진흥원,data_269,1073818,의료데이터,AI스피커,전달,20170520,차준호,한국인터넷진흥원,,,,
백인호,한국개발연구원,data_941,1589362,건강데이터,스마트워치,생성,20170727,,,,,,
차준호,건강보험심사평가원,data_847,1543920,음성데이터,AI스피커,생성,20180403,,,,,,
권은택,NHN,data_747,1696453,음성데이터,AI스피커,생성,20170112,,,,,,
이치훈,한국연구재단,data_326,1527635,음성데이터,스마트워치,수정,20170107,이재인,안랩,data_795,1835909,의료데이터,AI스피커
이연희,AWS,data_803,1653864,건강데이터,스마트워치,생성,20160308,,,,,,
우진주,CJ올리브네트웍스,data_386,1812041,건강데이터,스마트워치,전달,20170520,임나연,건강보험심사평가원,,,,
이지효,AWS,data_866,1254380,건강데이터,스마트워치,수정,20181005,배유빈,안랩,data_285,1091820,의료데이터,스마트워치
이지호,정보통신산업진흥원,data_286,1763231,의료데이터,스마트워치,판매,20170520,박수영,한국연구재단,,,,
정예인,정보통신산업진흥원,data_116,1322010,음성데이터,스마트워치,전달,20170520,유시아,건강보험심사평가원,,,,
이채연,AWS,data_989,1527469,위치데이터,T머니,변환,20170520,김지우,건강보험심사평가원,data_604,1653860,건강데이터,삼성페이
이재인,한국보건산업진흥원,data_426,1236578,음성데이터,AI스피커,생성,20180425,,,,,,
김영주,한국개발연구원,data_173,1268122,의료데이터,페이션트모니터,전달,20170520,이재균,건강보험심사평가원,,,,
김이진,상명대학교,data_172,1229406,의료데이터,AI스피커,수정,20160605,이민형,CJ올리브네트웍스,data_423,1839051,위치데이터,스마트워치
박지민,SK텔레콤,data_740,1225471,의료데이터,스마트워치,판매,20170520,임찬민,한국데이터진흥원,,,,
양유정,안랩,data_941,1573447,건강데이터,스마트워치,생성,20171206,,,,,,
권은택,한국인터넷진흥원,data_110,1577326,의료데이터,AI스피커,생성,20170606,,,,,,
이지효,한국보건산업진흥원,data_864,1721996,음성데이터,스마트워치,가공,20180306,이치훈,대한법률구조공단,data_430,1865600,의료데이터,AI스피커
이태민,건강보험심사평가원,data_675,1221837,건강데이터,AI스피커,생성,20170506,,,,,,
유정연,국민건강보험공단,data_333,1386915,음성데이터,AI스피커,변환,20170520,정은아,삼성SDS,data_571,1026225,위치데이터,스마트워치
배유빈,한국보건산업진흥원,data_181,1862674,건강데이터,스마트워치,판매,20170520,서영호,과학기술정책연구원,,,,
