소유자,소유자id,소유자type,데이터,값,파일,생성기관,행동,날짜,기타정보,행위자,행위자id,행위자type,시작기간,종료기간,가격,동의여부
박성윤,930501-1154218,개인,직장,상명대학교,,상명대학교,제공,20090105,,우리은행,124-64-12453,기관,,,,
박성윤,930501-1154218,개인,전화번호,010-3827-2826,,T모바일,제공,20050709,,KT,102-54-76543,기관,,,,
박성윤,930501-1154218,개인,전화번호,010-3827-2826,,T모바일,가공,20101105,익명화,,,,,,,
박성윤,930501-1154218,개인,직장,상명대학교,,상명대학교,가공,20131012,암호화,,,,,,,
박성윤,930501-1154218,개인,은행계좌,03-273-8273,,국민은행,생성,20000708,,,,,,,,
박성윤,930501-1154218,개인,구매내역,,bought.pdf,인터파크,생성,20090105,,,,,,,,
박성윤,930501-1154218,개인,은행계좌,03-273-8273,,국민은행,제공,20050709,,KT,102-54-76543,기관,,,,
박성윤,930501-1154218,개인,은행계좌,03-273-8273,,국민은행,가공,20101105,익명화,,,,,,,
박성윤,930501-1154218,개인,직장,상명대학교,,상명대학교,가공,20131012,암호화,,,,,,,
박성윤,930501-1154218,개인,주민번호,940622-2154629,,행정안전부,생성,20101025,,,,,,,,
박성윤,930501-1154218,개인,주소,인천 남동구,,행정안전부,생성,20031112,,,,,,,,
박성윤,930501-1154218,개인,주민번호,940622-2154629,,행정안전부,가공,20110105,암호화,,,,,,,
박성윤,930501-1154218,개인,주소,인천 남동구,,행정안전부,가공,20121204,익명화,,,,,,,
박성윤,930501-1154218,개인,주민번호,940622-2154629,,행정안전부,제공,20110105,,우리은행,124-64-12453,기관,,,,
박성윤,930501-1154218,개인,주소,인천 남동구,,행정안전부,제공,20121204,익명화,상명대학교,102-47-37263,기관,,,,
김수정,940622-2154629,개인,주민번호,940622-2154629,,행정안전부,생성,20101025,,,,,,,,
김수정,940622-2154629,개인,주소,서울 동작구,,행정안전부,생성,20031112,,,,,,,,
김수정,940622-2154629,개인,주민번호,940622-2154629,,행정안전부,가공,20110105,익명화,,,,,,,
김수정,940622-2154629,개인,주소,서울 동작구,,행정안전부,가공,20121204,익명화,,,,,,,
김수정,940622-2154629,개인,직장,고려대학교,,고려대학교,생성,20010506,,,,,,,,
김수정,940622-2154629,개인,전화번호,010-3836-2746,,KT모바일,생성,20010710,,,,,,,,
김수정,940622-2154629,개인,직장,고려대학교,,고려대학교,제공,20090105,,우리은행,124-64-12453,기관,20100402,20200401,50000,Yes
김수정,940622-2154629,개인,전화번호,010-3836-2746,,KT모바일,제공,20050709,,KT,102-54-76543,기관,,,,
김수정,940622-2154629,개인,전화번호,010-3836-2746,,KT모바일,가공,20101105,익명화,,,,,,,
김수정,940622-2154629,개인,직장,고려대학교,,고려대학교,생성,20010506,,,,,,,,
김수정,940622-2154629,개인,해외출입국기록,,record2.pdf,정부24,생성,20000708,,,,,,,,
김수정,940622-2154629,개인,주소,서울 동작구,,행정안전부,제공,20090105,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
김수정,940622-2154629,개인,카드번호,3827-3827-8372-3726,,신한카드,제공,20050709,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
김수정,940622-2154629,개인,해외출입국기록,,record2.pdf,정부24,가공,20100302,익명화,,,,,,,
구민성,950124-1150147,개인,직장,우리은행,,우리은행,생성,20121204,,,,,,,,
구민성,950124-1150147,개인,메일,kms@naver.com,,네이버,생성,20111104,,,,,,,,
구민성,950124-1150147,개인,구매내역,,list.pdf,인터파크,생성,20130524,,,,,,,,
구민성,950124-1150147,개인,직장,우리은행,,우리은행,가공,20190504,암호화,,,,,,,
구민성,950124-1150147,개인,메일,kms@naver.com,,네이버,가공,20200405,익명화,,,,,,,
구민성,950124-1150147,개인,재산정보,,hist.pdf,한국감정원,생성,20100708,,,,,,,,
구민성,950124-1150147,개인,차번호,31하8263,,국토교통부,생성,20180304,,,,,,,,
구민성,950124-1150147,개인,주소,서울 금천구,,행정안전부,생성,20190106,,,,,,,,
구민성,950124-1150147,개인,주민번호,950124-1150147,,행정안전부,생성,20171124,,,,,,,,
구민성,950124-1150147,개인,주민번호,950124-1150147,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
구민성,950124-1150147,개인,주소,서울 금천구,,행정안전부,제공,20200507,,온누리약국,210-42-51345,기관,20190511,20251205,300000,Yes
구민성,950124-1150147,개인,차번호,31하8263,,국토교통부,가공,20200507,익명화,,,,,,,
한아름,900423-2331429,개인,차번호,21마1315,,국토교통부,생성,20200609,,,,,,,,
한아름,900423-2331429,개인,은행계좌,04-2934-29374,,신한은행,생성,20180507,,,,,,,,
한아름,900423-2331429,개인,전화번호,010-3398-9765,,KT모바일,생성,20100222,,,,,,,,
한아름,900423-2331429,개인,은행계좌,04-2934-29374,,신한은행,제공,20180926,,LG CNC,832-12-83745,기관,20180511,20201205,250000,Yes
한아름,900423-2331429,개인,직장,LG CNC,,LG CNC,생성,20180302,,,,,,,,
한아름,900423-2331429,개인,은행계좌,04-2934-29374,,신한은행,가공,20200812,암호화,,,,,,,
한아름,900423-2331429,개인,직장,LG CNC,,LG CNC,가공,20131105,암호화,,,,,,,
한아름,900423-2331429,개인,카드번호,7777-8766-8765-3245,,신한카드,생성,20190402,,,,,,,,
한아름,900423-2331429,개인,차번호,21마1315,,국토교통부,제공,20031212,,LG CNC,832-12-83745,기관,20150304,20200303,250000,Yes
한아름,900423-2331429,개인,주소,서울 강남구,,행정안전부,생성,20100516,,,,,,,,
한아름,900423-2331429,개인,주민번호,900423-2331429,,행정안전부,생성,20150218,,,,,,,,
한아름,900423-2331429,개인,전화번호,010-3398-9765,,KT모바일,가공,20151106,암호화,,,,,,,
한아름,900423-2331429,개인,은행계좌,01-3152-45712,,신한은행,생성,20200507,,,,,,,,
한아름,900423-2331429,개인,주소,서울 강남구,,행정안전부,제공,20200507,,서울도시가스,157-54-65792,기관,20190119,20301024,152000,No
한아름,900423-2331429,개인,차번호,21마1315,,국토교통부,가공,20200507,암호화,,,,,,,
한아름,900423-2331429,개인,주민번호,900423-2331429,,행정안전부,제공,20170402,,신한은행,736-28-14523,기관,20200101,20300101,270000,Yes
신유나,870212-2172917,개인,직장,삼성SDS,,삼성SDS,생성,20080106,,,,,,,,
신유나,870212-2172917,개인,카드번호,3873-4857-4847-3837,,현대카드,생성,20100723,,,,,,,,
신유나,870212-2172917,개인,전화번호,010-3746-8888,,T모바일,생성,20090621,,,,,,,,
신유나,870212-2172917,개인,직장,삼성SDS,,삼성SDS,제공,20151119,,신한은행,736-28-14523,기관,20160101,20290101,250000,Yes
신유나,870212-2172917,개인,직장,삼성SDS,,네이버,가공,20080106,암호화,,,,,,,
신유나,870212-2172917,개인,카드번호,3873-4857-4847-3837,,현대카드,가공,20110618,암호화,,,,,,,
신유나,870212-2172917,개인,전화번호,010-3746-8888,,T모바일,가공,20090403,익명화,,,,,,,
신유나,870212-2172917,개인,구매내역,,,네이버,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
신유나,870212-2172917,개인,구매내역,,,네이버,가공,20131105,암호화,,,,,,,
신유나,870212-2172917,개인,전화번호,010-3746-8888,,T모바일,제공,20130512,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
신유나,870212-2172917,개인,카드번호,3873-4857-4847-3837,,현대카드,제공,20110618,,네이버,451-84-65752,기관,20180711,20200810,500000,Yes
신유나,870212-2172917,개인,차번호,12허4444,,국토교통부,생성,20180304,,,,,,,,
신유나,870212-2172917,개인,주소,서울 동작구,,행정안전부,생성,20190106,,,,,,,,
황민현,920111-1345263,개인,주민번호,920111-1345263,,행정안전부,생성,20171124,,,,,,,,
황민현,920111-1345263,개인,주민번호,920111-1345263,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
황민현,920111-1345263,개인,주소,서울 금천구,,행정안전부,제공,20200507,,국토교통부,124-12-57685,기관,20121112,20211111,600000,Yes
황민현,920111-1345263,개인,차번호,22바6666,,국토교통부,생성,20180304,,,,,,,,
황민현,920111-1345263,개인,졸업증명서,,certificate2.pdf,고려대학교,생성,20200222,,,,,,,,
황민현,920111-1345263,개인,은행계좌,02-3912-38472,,우리은행,생성,20180302,,,,,,,,
황민현,920111-1345263,개인,직장,네이버,,네이버,생성,20010506,,,,,,,,
황민현,920111-1345263,개인,전화번호,010-9999-8888,,U+모바일,생성,20000708,,,,,,,,
황민현,920111-1345263,개인,직장,네이버,,네이버,제공,20090105,,우리은행,124-64-12453,기관,,,,
황민현,920111-1345263,개인,전화번호,010-9999-8888,,U+모바일,제공,20050709,,KT,102-54-76543,기관,,,,
황민현,920111-1345263,개인,전화번호,010-9999-8888,,U+모바일,가공,20101105,익명화,,,,,,,
황민현,920111-1345263,개인,직장,네이버,,네이버,가공,20131012,암호화,,,,,,,
황민현,920111-1345263,개인,주소,서울 금천구,,행정안전부,생성,20190106,,,,,,,,
황민현,920111-1345263,개인,차번호,22바6666,,국토교통부,제공,20200721,,네이버,451-84-65752,기관,20200405,20250404,250000,Yes
백인호,890430-1483927,개인,주소,서울 용산구,,행정안전부,생성,20190106,,,,,,,,
백인호,890430-1483927,개인,주민번호,890430-1483927,,행정안전부,생성,20171124,,,,,,,,
백인호,890430-1483927,개인,주민번호,890430-1483927,,행정안전부,제공,20200507,,카카오,534-23-83412,기관,20201211,20291205,510000,Yes
백인호,890430-1483927,개인,주소,서울 용산구,,행정안전부,제공,20200507,,온누리약국,210-42-51345,기관,20190511,20251205,300000,Yes
백인호,890430-1483927,개인,차번호,11하9372,,국토교통부,생성,20180201,,,,,,,,
백인호,890430-1483927,개인,차번호,11하9372,,국토교통부,가공,20200609,암호화,,,,,,,
백인호,890430-1483927,개인,은행계좌,02-4326-56723,,신한은행,생성,20180507,,,,,,,,
백인호,890430-1483927,개인,졸업증명서,,graduate3.pdf,한국대학교,생성,20180222,,,,,,,,
백인호,890430-1483927,개인,은행계좌,02-4326-56723,,신한은행,제공,20180926,,카카오,534-23-83412,기관,20180511,20201205,250000,Yes
백인호,890430-1483927,개인,직장,카카오,,카카오,생성,20180302,,,,,,,,
백인호,890430-1483927,개인,은행계좌,02-4326-56723,,신한은행,가공,20200812,암호화,,,,,,,
백인호,890430-1483927,개인,직장,카카오,,네이버,가공,20131105,암호화,,,,,,,
백인호,890430-1483927,개인,여권,,pass6.pdf,행정안전부,생성,20190402,,,,,,,,
백인호,890430-1483927,개인,차번호,11하9372,,국토교통부,제공,20190705,,네이버,451-84-65752,기관,20190705,20290704,250000,Yes
백인호,890430-1483927,개인,주소,서울 강남구,,행정안전부,생성,20100516,,,,,,,,
강미나,890321-2384930,개인,주민번호,890321-2384930,,행정안전부,생성,20150218,,,,,,,,
강미나,890321-2384930,개인,졸업증명서,,certificate.pdf,한국대학교,생성,20151106,,,,,,,,
강미나,890321-2384930,개인,은행계좌,01-3152-45712,,신한은행,생성,20200507,,,,,,,,
강미나,890321-2384930,개인,주소,서울 강남구,,행정안전부,제공,20200507,,서울도시가스,157-54-65792,기관,20190119,20301024,152000,No
강미나,890321-2384930,개인,차번호,73마7253,,국토교통부,가공,20200507,암호화,,,,,,,
강미나,890321-2384930,개인,차번호,73마7253,,국토교통부,제공,20150908,,우리은행,124-64-12453,기관,20200101,20300101,270000,Yes
강미나,890321-2384930,개인,직장,LG CNC,,LG CNC,생성,20080106,,,,,,,,
강미나,890321-2384930,개인,주민번호,890321-2384930,,행정안전부,가공,20160723,익명화,,,,,,,
강미나,890321-2384930,개인,주민번호,890321-2384930,,행정안전부,제공,20150218,,LG CNC,832-12-83745,기관,20150304,20200303,250000,Yes
강미나,890321-2384930,개인,직장,LG CNC,,LG CNC,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
강미나,890321-2384930,개인,직장,네이버,,네이버,생성,20080106,,,,,,,,
강미나,890321-2384930,개인,카드번호,8888-4726-3726-3833,,신한카드,생성,20110618,,,,,,,,
강미나,890321-2384930,개인,전화번호,010-4444-2222,,KT모바일,생성,20090403,,,,,,,,
강미나,890321-2384930,개인,은행계좌,01-3152-45712,,신한은행,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
강미나,890321-2384930,개인,직장,LG CNC,,LG CNC,가공,20131105,암호화,,,,,,,
강미나,890321-2384930,개인,전화번호,010-4444-2222,,KT모바일,제공,20130512,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
채수빈,890327-2849210,개인,카드번호,3333-4444-5555-6666,,현대카드,생성,20100422,,,,,,,,
채수빈,890327-2849210,개인,차번호,33바5234,,국토교통부,생성,20180304,,,,,,,,
채수빈,890327-2849210,개인,주소,서울 마포구,,행정안전부,생성,20190106,,,,,,,,
채수빈,890327-2849210,개인,주민번호,890327-2849210,,행정안전부,생성,20171124,,,,,,,,
채수빈,890327-2849210,개인,주민번호,890327-2849210,,행정안전부,제공,20200507,,신한은행,736-28-14523,기관,20201211,20291205,510000,Yes
채수빈,890327-2849210,개인,주소,서울 마포구,,행정안전부,제공,20200507,,국토교통부,124-12-57685,기관,20121112,20211111,600000,Yes
채수빈,890327-2849210,개인,차번호,33바5234,,국토교통부,제공,20180304,,네이버,451-84-65752,기관,20200405,20250404,250000,Yes
채수빈,890327-2849210,개인,졸업증명서,,graduatecer.pdf,숙명여자대학교,생성,20200222,,,,,,,,
채수빈,890327-2849210,개인,은행계좌,73-271-3722,,신한은행,생성,20180302,,,,,,,,
채수빈,890327-2849210,개인,직장,상명대학교,,상명대학교,생성,20010506,,,,,,,,
채수빈,890327-2849210,개인,전화번호,010-2222-8574,,U+모바일,생성,20000708,,,,,,,,
채수빈,890327-2849210,개인,직장,상명대학교,,상명대학교,제공,20090105,,신한은행,736-28-14523,기관,20100203,20120202,650000,Yes
채수빈,890327-2849210,개인,전화번호,010-2222-8574,,U+모바일,제공,20050709,,KT,102-54-76543,기관,20051009,20101008,250000,Yes
채수빈,890327-2849210,개인,범죄기록,,record4.pdf,경찰청,제공,20110618,,네이버,451-84-65752,기관,20180711,20200810,500000,Yes
정은비,901222-2346281,개인,주민번호,901222-2346281,,행정안전부,생성,20100105,,,,,,,,
정은비,901222-2346281,개인,주소,서울 금천구,,행정안전부,생성,20190106,익명화,,,,,,,
정은비,901222-2346281,개인,직장,우리은행,,우리은행,생성,20121204,,,,,,,,
정은비,901222-2346281,개인,차번호,22바7090,,국토교통부,가공,20200304,암호화,,,,,,,
정은비,901222-2346281,개인,구매내역,,list.pdf,인터파크,생성,20130524,,,,,,,,
정은비,901222-2346281,개인,직장,우리은행,,우리은행,가공,20190504,암호화,,,,,,,
정은비,901222-2346281,개인,직장,우리은행,,우리은행,제공,20200504,,인터파크,140-12-45632,기관,20200605,20200604,350000,Yes
정은비,901222-2346281,개인,여권,,passport2.pdf,행정안전부,생성,20100708,,,,,,,,
정은비,901222-2346281,개인,차번호,22바7090,,국토교통부,생성,20180304,,,,,,,,
정은비,901222-2346281,개인,주소,서울 금천구,,행정안전부,가공,20200106,암호화,,,,,,,
정은비,901222-2346281,개인,주민번호,901222-2346281,,행정안전부,가공,20110105,익명화,,,,,,,
정은비,901222-2346281,개인,주민번호,901222-2346281,,행정안전부,제공,20200507,,우리은행,124-64-12453,기관,20201211,20291205,510000,Yes
손채영,920413-2846281,개인,주소,서울 동작구,,행정안전부,생성,20180507,,,,,,,,
손채영,920413-2846281,개인,차번호,53사7524,,국토교통부,생성,20180609,,,,,,,,
손채영,920413-2846281,개인,차번호,53사7524,,국토교통부,가공,20200507,익명화,,,,,,,
손채영,920413-2846281,개인,은행계좌,11-2934-29375,,신한은행,생성,20180507,,,,,,,,
손채영,920413-2846281,개인,전화번호,010-2837-0087,,U+모바일,생성,20180222,,,,,,,,
손채영,920413-2846281,개인,은행계좌,11-2934-29375,,신한은행,제공,20180926,,카카오,534-23-83412,기관,20180511,20201205,250000,Yes
손채영,920413-2846281,개인,직장,삼성SDS,,삼성SDS,생성,20180302,,,,,,,,
손채영,920413-2846281,개인,은행계좌,11-2934-29375,,신한은행,가공,20200812,익명화,,,,,,,
손채영,920413-2846281,개인,직장,삼성SDS,,카카오,가공,20131105,암호화,,,,,,,
손채영,920413-2846281,개인,전화번호,010-2837-0087,,U+모바일,가공,20190402,암호화,,,,,,,
손채영,920413-2846281,개인,차번호,21마1315,,국토교통부,제공,20031212,,삼성SDS,639-21-37254,기관,20150304,20200303,250000,Yes
손채영,920413-2846281,개인,주소,서울 동작구,,행정안전부,가공,20190516,암호화,,,,,,,
손채영,920413-2846281,개인,주민번호,920413-2846281,,행정안전부,생성,20150218,,,,,,,,
손채영,920413-2846281,개인,주소,서울 동작구,,행정안전부,제공,20200507,,온누리약국,210-42-51345,기관,20190511,20251205,300000,Yes
권보아,890212-2298461,개인,주민번호,890212-2298461,,행정안전부,생성,20100507,,,,,,,,
권보아,890212-2298461,개인,주소,서울 강남구,,행정안전부,제공,20200507,,서울도시가스,157-54-65792,기관,20190119,20301024,152000,No
권보아,890212-2298461,개인,주소,서울 강남구,,행정안전부,생성,20160525,,,,,,,,
권보아,890212-2298461,개인,주민번호,890212-2298461,,행정안전부,제공,20150908,,우리은행,124-64-12453,기관,20200101,20300101,270000,Yes
권보아,890212-2298461,개인,직장,네이버웹툰,,네이버웹툰,생성,20080106,,,,,,,,
권보아,890212-2298461,개인,주민번호,890212-2298461,,행정안전부,가공,20120723,익명화,,,,,,,
권보아,890212-2298461,개인,여권,,passport4.pdf,행정안전부,생성,20090621,,,,,,,,
권보아,890212-2298461,개인,직장,네이버웹툰,,네이버웹툰,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
권보아,890212-2298461,개인,직장,네이버웹툰,,네이버,생성,20080106,,,,,,,,
권보아,890212-2298461,개인,차번호,34바6253,,국토교통부,가공,20190304,암호화,,,,,,,
권보아,890212-2298461,개인,메일,boa@gmail.com,,구글,생성,20090403,,,,,,,,
권보아,890212-2298461,개인,메일,boa@gmail.com,,구글,제공,20151119,,인터파크,140-12-45632,기관,20160101,20290101,250000,Yes
권보아,890212-2298461,개인,메일,boa@gmail.com,,구글,가공,20131105,암호화,,,,,,,
권보아,890212-2298461,개인,여권,,passport4.pdf,행정안전부,제공,20130512,,국토교통부,124-12-57685,기관,20151112,20310509,600000,No
권보아,890212-2298461,개인,주민번호,890212-2298461,,행정안전부,제공,20130618,,네이버,451-84-65752,기관,20180711,20200810,500000,Yes
권보아,890212-2298461,개인,차번호,34바6253,,국토교통부,생성,20180304,,,,,,,,
이지혜,900811-2978462,개인,주소,서울 동작구,,행정안전부,생성,20190106,,,,,,,,
이지혜,900811-2978462,개인,주민번호,900811-2978462,,행정안전부,생성,20171124,,,,,,,,
이지혜,900811-2978462,개인,주민번호,900811-2978462,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
이지혜,900811-2978462,개인,주소,서울 동작구,,행정안전부,제공,20200507,,국토교통부,124-12-57685,기관,20121112,20211111,600000,Yes
이지혜,900811-2978462,개인,차번호,34마0726,,국토교통부,제공,20180304,,네이버,451-84-65752,기관,20200405,20250404,250000,Yes
이지혜,900811-2978462,개인,카드번호,8832-8836-2837-2837,,신한카드,생성,20200222,,,,,,,,
이지혜,900811-2978462,개인,은행계좌,23-6943-28466,,국민은행,생성,20180302,,,,,,,,
이지혜,900811-2978462,개인,직장,상명대학교,,상명대학교,생성,20010506,,,,,,,,
이지혜,900811-2978462,개인,전화번호,010-2837-9480,,KT모바일,생성,20000708,,,,,,,,
이지혜,900811-2978462,개인,직장,상명대학교,,상명대학교,제공,20090105,,우리은행,124-64-12453,기관,20101211,20191205,130000,No
이지혜,900811-2978462,개인,전화번호,010-2837-9480,,KT모바일,제공,20050709,,KT,102-54-76543,기관,20061211,20161111,230000,Yes
이지혜,900811-2978462,개인,전화번호,010-2837-9480,,KT모바일,가공,20101105,익명화,,,,,,,
이지혜,900811-2978462,개인,직장,상명대학교,,상명대학교,가공,20131012,암호화,,,,,,,
이지혜,900811-2978462,개인,주소,서울 동작구,,행정안전부,가공,20200106,암호화,,,,,,,
이지혜,900811-2978462,개인,차번호,34마0726,,국토교통부,생성,20180304,,,,,,,,
이지혜,900811-2978462,개인,카드번호,8832-8836-2837-2837,,신한카드,가공,2020302,암호화,,,,,,,
이지혜,900811-2978462,개인,주민번호,900811-2978462,,행정안전부,가공,20171230,익명화,,,,,,,
이규형,890823-1948362,개인,주민번호,890823-1948362,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,No
이규형,890823-1948362,개인,주소,서울 용산구,,행정안전부,제공,20200507,,온누리약국,210-42-51345,기관,20190511,20251205,300000,Yes
이규형,890823-1948362,개인,차번호,33마6666,,국토교통부,생성,20180603,,,,,,,,
이규형,890823-1948362,개인,차번호,33마6666,,국토교통부,가공,20200609,암호화,,,,,,,
이규형,890823-1948362,개인,은행계좌,83-5426-78923,,신한은행,생성,20180507,,,,,,,,
이규형,890823-1948362,개인,주소,서울 용산구,,행정안전부,생성,20180222,,,,,,,,
이규형,890823-1948362,개인,은행계좌,83-5426-78923,,신한은행,제공,20180926,,카카오,534-23-83412,기관,20180511,20201205,250000,Yes
이규형,890823-1948362,개인,직장,카카오,,카카오,생성,20180302,,,,,,,,
이규형,890823-1948362,개인,은행계좌,02-4326-56723,,신한은행,가공,20200812,암호화,,,,,,,
이규형,890823-1948362,개인,주민번호,890823-1948362,,행정안전부,생성,20180507,,,,,,,,
김민규,880812-1987652,개인,전화번호,010-3837-3838,,KT모바일,생성,20190402,,,,,,,,
김민규,880812-1987652,개인,차번호,10마5555,,국토교통부,생성,20031212,,,,,,,,
김민규,880812-1987652,개인,주소,서울 강남구,,행정안전부,생성,20100516,,,,,,,,
김민규,880812-1987652,개인,주민번호,880812-1987652,,행정안전부,생성,20150218,,,,,,,,
김민규,880812-1987652,개인,졸업증명서,,certificate3.pdf,한국대학교,생성,20151106,,,,,,,,
김민규,880812-1987652,개인,은행계좌,01-3152-45712,,신한은행,생성,20200507,,,,,,,,
김민규,880812-1987652,개인,주소,서울 강남구,,행정안전부,제공,20200507,,서울도시가스,157-54-65792,기관,20190119,20301024,152000,No
김민규,880812-1987652,개인,차번호,10마5555,,국토교통부,가공,20200507,암호화,,,,,,,
김민규,880812-1987652,개인,주민번호,880812-1987652,,행정안전부,제공,20150908,,우리은행,124-64-12453,기관,20200101,20300101,270000,Yes
김민규,880812-1987652,개인,직장,삼성SDS,,삼성SDS,생성,20080106,,,,,,,,
김민규,880812-1987652,개인,범죄기록,,record5.pdf,경찰청,생성,20120723,,,,,,,,
김민규,880812-1987652,개인,전화번호,010-3837-3838,,KT모바일,가공,20200621,암호화,,,,,,,
최민석,880714-1678537,개인,차번호,65바7777,,국토교통부,생성,20180304,,,,,,,,
최민석,880714-1678537,개인,주소,서울 용산구,,행정안전부,생성,20190106,,,,,,,,
최민석,880714-1678537,개인,주민번호,880714-1678537,,행정안전부,생성,20171124,,,,,,,,
최민석,880714-1678537,개인,주민번호,880714-1678537,,행정안전부,제공,20200507,,네이버,451-84-65752,기관,20201211,20291205,510000,Yes
